time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404166
0.002000, -1.464818, 17.185646
0.003000, -1.438063, 23.564901
0.004000, -1.406743, 28.735357
0.005000, -1.371811, 32.866111
0.006000, -1.334087, 36.104721
0.007000, -1.294270, 38.579733
0.008000, -1.252955, 40.402961
0.009000, -1.210649, 41.671540
0.010000, -1.167781, 42.469763
0.011000, -1.124709, 42.870705
0.012000, -1.081738, 42.937671
0.013000, -1.039119, 42.725456
0.014000, -0.997059, 42.281457
0.015000, -0.955730, 41.646630
0.016000, -0.915269, 40.856337
0.017000, -0.875786, 39.941065
0.018000, -0.837366, 38.927061
0.019000, -0.800074, 37.836878
0.020000, -0.763957, 36.689848
0.021000, -0.729049, 35.502495
0.022000, -0.695367, 34.288895
0.023000, -0.662920, 33.060988
0.024000, -0.631707, 31.828852
0.025000, -0.601720, 30.600945
0.026000, -0.572944, 29.384310
0.027000, -0.545359, 28.184768
0.028000, -0.518941, 27.007072
0.029000, -0.493661, 25.855057
0.030000, -0.469491, 24.731760
0.031000, -0.446398, 23.639535
0.032000, -0.424347, 22.580146
0.033000, -0.403305, 21.554854
0.034000, -0.383236, 20.564494
0.035000, -0.364104, 19.609535
0.036000, -0.345873, 18.690142
0.037000, -0.328509, 17.806223
0.038000, -0.311976, 16.957472
0.039000, -0.296240, 16.143408
0.040000, -0.281266, 15.363409
0.041000, -0.267023, 14.616734
0.042000, -0.253477, 13.902555
0.043000, -0.240599, 13.219971
0.044000, -0.228357, 12.568031
0.045000, -0.216722, 11.945745
0.046000, -0.205667, 11.352098
0.047000, -0.195164, 10.786064
0.048000, -0.185187, 10.246608
0.049000, -0.175711, 9.732703
0.050000, -0.166713, 9.243327
0.051000, -0.158168, 8.777475
0.052000, -0.150055, 8.334158
0.053000, -0.142354, 7.912411
0.054000, -0.135043, 7.511292
0.055000, -0.128104, 7.129886
0.056000, -0.121518, 6.767305
0.057000, -0.115268, 6.422692
0.058000, -0.109336, 6.095217
0.059000, -0.103708, 5.784082
0.060000, -0.098367, 5.488518
0.061000, -0.093299, 5.207787
0.062000, -0.088492, 4.941178
0.063000, -0.083930, 4.688013
0.064000, -0.079603, 4.447640
0.065000, -0.075497, 4.219436
0.066000, -0.071603, 4.002806
0.067000, -0.067909, 3.797179
0.068000, -0.064404, 3.602012
0.069000, -0.061080, 3.416787
0.070000, -0.057927, 3.241008
0.071000, -0.054936, 3.074204
0.072000, -0.052099, 2.915926
0.073000, -0.049409, 2.765745
0.074000, -0.046857, 2.623255
0.075000, -0.044436, 2.488066
0.076000, -0.042140, 2.359809
0.077000, -0.039963, 2.238135
0.078000, -0.037898, 2.122708
0.079000, -0.035940, 2.013211
0.080000, -0.034082, 1.909343
0.081000, -0.032321, 1.810817
0.082000, -0.030650, 1.717360
0.083000, -0.029066, 1.628713
0.084000, -0.027563, 1.544631
0.085000, -0.026138, 1.464880
0.086000, -0.024787, 1.389238
0.087000, -0.023505, 1.317494
0.088000, -0.022290, 1.249448
0.089000, -0.021137, 1.184912
0.090000, -0.020044, 1.123704
0.091000, -0.019007, 1.065653
0.092000, -0.018024, 1.010597
0.093000, -0.017092, 0.958383
0.094000, -0.016208, 0.908863
0.095000, -0.015369, 0.861900
0.096000, -0.014574, 0.817361
0.097000, -0.013820, 0.775122
0.098000, -0.013105, 0.735064
0.099000, -0.012427, 0.697075
0.100000, -0.011784, 0.661048
0.101000, -0.011174, 0.626881
0.102000, -0.010596, 0.594480
0.103000, -0.010048, 0.563753
0.104000, -0.009528, 0.534613
0.105000, -0.009034, 0.506978
0.106000, -0.008567, 0.480772
0.107000, -0.008123, 0.455920
0.108000, -0.007703, 0.432352
0.109000, -0.007304, 0.410001
0.110000, -0.006926, 0.388806
0.111000, -0.006567, 0.368707
0.112000, -0.006227, 0.349646
0.113000, -0.005904, 0.331570
0.114000, -0.005599, 0.314429
0.115000, -0.005308, 0.298173
0.116000, -0.005033, 0.282758
0.117000, -0.004773, 0.268139
0.118000, -0.004525, 0.254277
0.119000, -0.004291, 0.241130
0.120000, -0.004068, 0.228664
0.121000, -0.003857, 0.216842
0.122000, -0.003657, 0.205631
0.123000, -0.003468, 0.194999
0.124000, -0.003288, 0.184917
0.125000, -0.003117, 0.175356
0.126000, -0.002955, 0.166290
0.127000, -0.002802, 0.157692
0.128000, -0.002657, 0.149539
0.129000, -0.002519, 0.141807
0.130000, -0.002388, 0.134475
0.131000, -0.002264, 0.127522
0.132000, -0.002146, 0.120928
0.133000, -0.002035, 0.114676
0.134000, -0.001929, 0.108746
0.135000, -0.001828, 0.103123
0.136000, -0.001733, 0.097791
0.137000, -0.001643, 0.092735
0.138000, -0.001558, 0.087940
0.139000, -0.001476, 0.083392
0.140000, -0.001400, 0.079080
0.141000, -0.001327, 0.074991
0.142000, -0.001257, 0.071113
0.143000, -0.001192, 0.067436
0.144000, -0.001130, 0.063949
0.145000, -0.001071, 0.060642
0.146000, -0.001015, 0.057506
0.147000, -0.000962, 0.054532
0.148000, -0.000911, 0.051712
0.149000, -0.000864, 0.049038
0.150000, -0.000818, 0.046502
0.151000, -0.000776, 0.044097
0.152000, -0.000735, 0.041817
0.153000, -0.000696, 0.039654
0.154000, -0.000660, 0.037603
0.155000, -0.000625, 0.035658
0.156000, -0.000592, 0.033814
0.157000, -0.000561, 0.032065
0.158000, -0.000531, 0.030407
0.159000, -0.000503, 0.028834
0.160000, -0.000477, 0.027342
0.161000, -0.000451, 0.025928
0.162000, -0.000428, 0.024587
0.163000, -0.000405, 0.023315
0.164000, -0.000383, 0.022109
0.165000, -0.000363, 0.020965
0.166000, -0.000344, 0.019881
0.167000, -0.000325, 0.018852
0.168000, -0.000308, 0.017877
0.169000, -0.000291, 0.016952
0.170000, -0.000276, 0.016075
0.171000, -0.000261, 0.015243
0.172000, -0.000247, 0.014454
0.173000, -0.000234, 0.013706
0.174000, -0.000221, 0.012997
0.175000, -0.000209, 0.012324
0.176000, -0.000198, 0.011686
0.177000, -0.000187, 0.011081
0.178000, -0.000177, 0.010508
0.179000, -0.000167, 0.009964
0.180000, -0.000158, 0.009448
0.181000, -0.000149, 0.008959
0.182000, -0.000141, 0.008495
0.183000, -0.000133, 0.008055
0.184000, -0.000125, 0.007638
0.185000, -0.000118, 0.007242
0.186000, -0.000112, 0.006867
0.187000, -0.000105, 0.006511
0.188000, -0.000099, 0.006174
0.189000, -0.000094, 0.005854
0.190000, -0.000088, 0.005551
0.191000, -0.000083, 0.005263
0.192000, -0.000078, 0.004990
0.193000, -0.000074, 0.004732
0.194000, -0.000069, 0.004486
0.195000, -0.000065, 0.004254
0.196000, -0.000061, 0.004033
0.197000, -0.000058, 0.003824
0.198000, -0.000054, 0.003625
0.199000, -0.000051, 0.003437
0.200000, -0.000048, 0.003259
0.201000, -0.000045, 0.003090
0.202000, -0.000042, 0.002929
0.203000, -0.000039, 0.002777
0.204000, -0.000036, 0.002633
0.205000, -0.000034, 0.002496
0.206000, -0.000032, 0.002366
0.207000, -0.000030, 0.002243
0.208000, -0.000027, 0.002126
0.209000, -0.000026, 0.002016
0.210000, -0.000024, 0.001911
0.211000, -0.000022, 0.001811
0.212000, -0.000020, 0.001717
0.213000, -0.000019, 0.001627
0.214000, -0.000017, 0.001543
0.215000, -0.000016, 0.001462
0.216000, -0.000014, 0.001386
0.217000, -0.000013, 0.001313
0.218000, -0.000012, 0.001245
0.219000, -0.000011, 0.001180
0.220000, -0.000010, 0.001118
0.221000, -0.000009, 0.001060
0.222000, -0.000008, 0.001004
0.223000, -0.000007, 0.000951
0.224000, -0.000006, 0.000901
0.225000, -0.000005, 0.000854
0.226000, -0.000004, 0.000809
0.227000, -0.000003, 0.000767
0.228000, -0.000003, 0.000726
0.229000, -0.000002, 0.000688
0.230000, -0.000001, 0.000652
0.231000, -0.000001, 0.000617
0.232000, -0.000000, 0.000585
0.233000, 0.000000, 0.000554
0.234000, 0.000001, 0.000524
0.235000, 0.000001, 0.000497
0.236000, 0.000002, 0.000470
0.237000, 0.000002, 0.000445
0.238000, 0.000003, 0.000421
0.239000, 0.000003, 0.000399
0.240000, 0.000003, 0.000378
0.241000, 0.000004, 0.000357
0.242000, 0.000004, 0.000338
0.243000, 0.000004, 0.000320
0.244000, 0.000005, 0.000303
0.245000, 0.000005, 0.000286
0.246000, 0.000005, 0.000271
0.247000, 0.000005, 0.000256
0.248000, 0.000006, 0.000242
0.249000, 0.000006, 0.000229
0.250000, 0.000006, 0.000216
0.251000, 0.000006, 0.000204
0.252000, 0.000006, 0.000193
0.253000, 0.000007, 0.000182
0.254000, 0.000007, 0.000172
0.255000, 0.000007, 0.000163
0.256000, 0.000007, 0.000154
0.257000, 0.000007, 0.000145
0.258000, 0.000007, 0.000137
0.259000, 0.000007, 0.000129
0.260000, 0.000008, 0.000122
0.261000, 0.000008, 0.000115
0.262000, 0.000008, 0.000108
0.263000, 0.000008, 0.000102
0.264000, 0.000008, 0.000096
0.265000, 0.000008, 0.000090
0.266000, 0.000008, 0.000085
0.267000, 0.000008, 0.000080
0.268000, 0.000008, 0.000075
0.269000, 0.000008, 0.000070
0.270000, 0.000008, 0.000066
0.271000, 0.000008, 0.000062
0.272000, 0.000009, 0.000058
0.273000, 0.000009, 0.000054
0.274000, 0.000009, 0.000051
0.275000, 0.000009, 0.000047
0.276000, 0.000009, 0.000044
0.277000, 0.000009, 0.000041
0.278000, 0.000009, 0.000038
0.279000, 0.000009, 0.000036
0.280000, 0.000009, 0.000033
0.281000, 0.000009, 0.000031
0.282000, 0.000009, 0.000028
0.283000, 0.000009, 0.000026
0.284000, 0.000009, 0.000024
0.285000, 0.000009, 0.000022
0.286000, 0.000009, 0.000020
0.287000, 0.000009, 0.000018
0.288000, 0.000009, 0.000017
0.289000, 0.000009, 0.000015
0.290000, 0.000009, 0.000014
0.291000, 0.000009, 0.000012
0.292000, 0.000009, 0.000011
0.293000, 0.000009, 0.000010
0.294000, 0.000009, 0.000008
0.295000, 0.000009, 0.000007
0.296000, 0.000009, 0.000006
0.297000, 0.000009, 0.000005
0.298000, 0.000009, 0.000004
0.299000, 0.000009, 0.000003
0.300000, 0.000009, 0.000002
0.301000, 0.000009, 0.000002
0.302000, 0.000009, 0.000001
0.303000, 0.000009, 0.000000
0.304000, 0.000009, -0.000001
0.305000, 0.000009, -0.000001
0.306000, 0.000009, -0.000002
0.307000, 0.000009, -0.000003
0.308000, 0.000009, -0.000003
0.309000, 0.000009, -0.000004
0.310000, 0.000009, -0.000004
0.311000, 0.000009, -0.000005
0.312000, 0.000009, -0.000005
0.313000, 0.000009, -0.000006
0.314000, 0.000009, -0.000006
0.315000, 0.000009, -0.000006
0.316000, 0.000009, -0.000007
0.317000, 0.000009, -0.000007
0.318000, 0.000009, -0.000007
0.319000, 0.000009, -0.000008
0.320000, 0.000009, -0.000008
0.321000, 0.000009, -0.000008
0.322000, 0.000009, -0.000009
0.323000, 0.000009, -0.000009
0.324000, 0.000009, -0.000009
0.325000, 0.000009, -0.000009
0.326000, 0.000009, -0.000010
0.327000, 0.000009, -0.000010
0.328000, 0.000009, -0.000010
0.329000, 0.000009, -0.000010
0.330000, 0.000009, -0.000010
0.331000, 0.000009, -0.000011
0.332000, 0.000009, -0.000011
0.333000, 0.000009, -0.000011
0.334000, 0.000009, -0.000011
0.335000, 0.000009, -0.000011
0.336000, 0.000009, -0.000011
0.337000, 0.000009, -0.000011
0.338000, 0.000009, -0.000012
0.339000, 0.000009, -0.000012
0.340000, 0.000009, -0.000012
0.341000, 0.000009, -0.000012
0.342000, 0.000009, -0.000012
0.343000, 0.000009, -0.000012
0.344000, 0.000009, -0.000012
0.345000, 0.000009, -0.000012
0.346000, 0.000009, -0.000012
0.347000, 0.000009, -0.000012
0.348000, 0.000009, -0.000012
0.349000, 0.000009, -0.000012
0.350000, 0.000009, -0.000012
0.351000, 0.000009, -0.000013
0.352000, 0.000009, -0.000013
0.353000, 0.000009, -0.000013
0.354000, 0.000009, -0.000013
0.355000, 0.000009, -0.000013
0.356000, 0.000009, -0.000013
0.357000, 0.000009, -0.000013
0.358000, 0.000009, -0.000013
0.359000, 0.000009, -0.000013
0.360000, 0.000009, -0.000013
0.361000, 0.000009, -0.000013
0.362000, 0.000009, -0.000013
0.363000, 0.000009, -0.000013
0.364000, 0.000009, -0.000013
0.365000, 0.000009, -0.000013
0.366000, 0.000009, -0.000013
0.367000, 0.000009, -0.000013
0.368000, 0.000009, -0.000013
0.369000, 0.000008, -0.000013
0.370000, 0.000008, -0.000013
0.371000, 0.000008, -0.000013
0.372000, 0.000008, -0.000013
0.373000, 0.000008, -0.000013
0.374000, 0.000008, -0.000013
0.375000, 0.000008, -0.000013
0.376000, 0.000008, -0.000013
0.377000, 0.000008, -0.000013
0.378000, 0.000008, -0.000013
0.379000, 0.000008, -0.000013
0.380000, 0.000008, -0.000013
0.381000, 0.000008, -0.000013
0.382000, 0.000008, -0.000013
0.383000, 0.000008, -0.000013
0.384000, 0.000008, -0.000013
0.385000, 0.000008, -0.000013
0.386000, 0.000008, -0.000013
0.387000, 0.000008, -0.000013
0.388000, 0.000008, -0.000013
0.389000, 0.000008, -0.000013
0.390000, 0.000008, -0.000013
0.391000, 0.000008, -0.000013
0.392000, 0.000008, -0.000013
0.393000, 0.000008, -0.000013
0.394000, 0.000008, -0.000013
0.395000, 0.000008, -0.000013
0.396000, 0.000008, -0.000013
0.397000, 0.000008, -0.000013
0.398000, 0.000008, -0.000013
0.399000, 0.000008, -0.000013
0.400000, 0.000008, -0.000013
0.401000, 0.000008, -0.000013
0.402000, 0.000008, -0.000013
0.403000, 0.000008, -0.000013
0.404000, 0.000008, -0.000013
0.405000, 0.000008, -0.000013
0.406000, 0.000008, -0.000013
0.407000, 0.000008, -0.000013
0.408000, 0.000008, -0.000013
0.409000, 0.000008, -0.000013
0.410000, 0.000008, -0.000013
0.411000, 0.000008, -0.000013
0.412000, 0.000008, -0.000013
0.413000, 0.000008, -0.000013
0.414000, 0.000008, -0.000013
0.415000, 0.000008, -0.000013
0.416000, 0.000008, -0.000013
0.417000, 0.000008, -0.000013
0.418000, 0.000008, -0.000013
0.419000, 0.000008, -0.000013
0.420000, 0.000008, -0.000013
0.421000, 0.000008, -0.000013
0.422000, 0.000008, -0.000013
0.423000, 0.000008, -0.000013
0.424000, 0.000008, -0.000013
0.425000, 0.000008, -0.000013
0.426000, 0.000008, -0.000013
0.427000, 0.000008, -0.000013
0.428000, 0.000008, -0.000013
0.429000, 0.000008, -0.000013
0.430000, 0.000008, -0.000013
0.431000, 0.000008, -0.000013
0.432000, 0.000008, -0.000013
0.433000, 0.000008, -0.000013
0.434000, 0.000008, -0.000013
0.435000, 0.000008, -0.000013
0.436000, 0.000008, -0.000013
0.437000, 0.000008, -0.000013
0.438000, 0.000008, -0.000013
0.439000, 0.000008, -0.000013
0.440000, 0.000008, -0.000013
0.441000, 0.000008, -0.000013
0.442000, 0.000008, -0.000013
0.443000, 0.000008, -0.000013
0.444000, 0.000007, -0.000013
0.445000, 0.000007, -0.000013
0.446000, 0.000007, -0.000013
0.447000, 0.000007, -0.000013
0.448000, 0.000007, -0.000013
0.449000, 0.000007, -0.000013
0.450000, 0.000007, -0.000013
0.451000, 0.000007, -0.000013
0.452000, 0.000007, -0.000013
0.453000, 0.000007, -0.000013
0.454000, 0.000007, -0.000013
