time,x_error,y_error,theta_error
0.601000, 1.006957, 0.036690, 0.469306
0.602000, 1.007268, 0.036848, 0.466714
0.603000, 1.007580, 0.037005, 0.464132
0.604000, 1.007893, 0.037162, 0.461562
0.605000, 1.008207, 0.037318, 0.459002
0.606000, 1.008522, 0.037474, 0.456454
0.607000, 1.008838, 0.037629, 0.453916
0.608000, 1.009154, 0.037784, 0.451389
0.609000, 1.009472, 0.037938, 0.448873
0.610000, 1.009791, 0.038091, 0.446368
0.611000, 1.010110, 0.038244, 0.443874
0.612000, 1.010431, 0.038396, 0.441391
0.613000, 1.010752, 0.038548, 0.438919
0.614000, 1.011075, 0.038700, 0.436457
0.615000, 1.011398, 0.038850, 0.434006
0.616000, 1.011722, 0.039000, 0.431566
0.617000, 1.012047, 0.039150, 0.429137
0.618000, 1.012372, 0.039299, 0.426719
0.619000, 1.012699, 0.039448, 0.424311
0.620000, 1.013026, 0.039596, 0.421914
0.621000, 1.013355, 0.039743, 0.419528
0.622000, 1.013684, 0.039890, 0.417153
0.623000, 1.014014, 0.040036, 0.414788
0.624000, 1.014345, 0.040182, 0.412434
0.625000, 1.014676, 0.040327, 0.410091
0.626000, 1.015009, 0.040471, 0.407758
0.627000, 1.015342, 0.040615, 0.405436
0.628000, 1.015676, 0.040758, 0.403125
0.629000, 1.016011, 0.040901, 0.400824
0.630000, 1.016346, 0.041043, 0.398534
0.631000, 1.016683, 0.041185, 0.396254
0.632000, 1.017020, 0.041326, 0.393985
0.633000, 1.017358, 0.041467, 0.391726
0.634000, 1.017696, 0.041606, 0.389478
0.635000, 1.018035, 0.041746, 0.387240
0.636000, 1.018376, 0.041884, 0.385013
0.637000, 1.018716, 0.042023, 0.382797
0.638000, 1.019058, 0.042160, 0.380590
0.639000, 1.019400, 0.042297, 0.378394
0.640000, 1.019743, 0.042433, 0.376209
0.641000, 1.020087, 0.042569, 0.374034
0.642000, 1.020431, 0.042704, 0.371869
0.643000, 1.020776, 0.042839, 0.369714
0.644000, 1.021122, 0.042973, 0.367570
0.645000, 1.021469, 0.043106, 0.365436
0.646000, 1.021816, 0.043239, 0.363313
0.647000, 1.022164, 0.043371, 0.361199
0.648000, 1.022512, 0.043503, 0.359096
0.649000, 1.022861, 0.043634, 0.357003
0.650000, 1.023211, 0.043764, 0.354920
0.651000, 1.023561, 0.043894, 0.352847
0.652000, 1.023912, 0.044024, 0.350784
0.653000, 1.024264, 0.044152, 0.348731
0.654000, 1.024616, 0.044280, 0.346689
0.655000, 1.024969, 0.044408, 0.344656
0.656000, 1.025323, 0.044535, 0.342633
0.657000, 1.025677, 0.044661, 0.340621
0.658000, 1.026032, 0.044787, 0.338618
0.659000, 1.026387, 0.044912, 0.336625
0.660000, 1.026743, 0.045037, 0.334642
0.661000, 1.027100, 0.045161, 0.332669
0.662000, 1.027457, 0.045284, 0.330706
0.663000, 1.027814, 0.045407, 0.328752
0.664000, 1.028173, 0.045529, 0.326809
0.665000, 1.028531, 0.045651, 0.324875
0.666000, 1.028891, 0.045772, 0.322950
0.667000, 1.029251, 0.045892, 0.321036
0.668000, 1.029611, 0.046012, 0.319131
0.669000, 1.029972, 0.046131, 0.317236
0.670000, 1.030334, 0.046250, 0.315350
0.671000, 1.030696, 0.046368, 0.313474
0.672000, 1.031058, 0.046486, 0.311607
0.673000, 1.031422, 0.046603, 0.309750
0.674000, 1.031785, 0.046719, 0.307903
0.675000, 1.032149, 0.046835, 0.306065
0.676000, 1.032514, 0.046950, 0.304236
0.677000, 1.032879, 0.047065, 0.302417
0.678000, 1.033245, 0.047179, 0.300607
0.679000, 1.033611, 0.047292, 0.298807
0.680000, 1.033978, 0.047405, 0.297016
0.681000, 1.034345, 0.047517, 0.295234
0.682000, 1.034712, 0.047629, 0.293461
0.683000, 1.035080, 0.047740, 0.291698
0.684000, 1.035449, 0.047851, 0.289943
0.685000, 1.035818, 0.047961, 0.288198
0.686000, 1.036187, 0.048071, 0.286462
0.687000, 1.036557, 0.048180, 0.284735
0.688000, 1.036928, 0.048288, 0.283017
0.689000, 1.037298, 0.048396, 0.281309
0.690000, 1.037670, 0.048503, 0.279609
0.691000, 1.038041, 0.048610, 0.277918
0.692000, 1.038413, 0.048716, 0.276236
0.693000, 1.038786, 0.048822, 0.274563
0.694000, 1.039159, 0.048927, 0.272899
0.695000, 1.039532, 0.049031, 0.271244
0.696000, 1.039906, 0.049135, 0.269597
0.697000, 1.040280, 0.049238, 0.267960
0.698000, 1.040654, 0.049341, 0.266331
0.699000, 1.041029, 0.049444, 0.264711
0.700000, 1.041405, 0.049545, 0.263099
0.701000, 1.041780, 0.049646, 0.261496
0.702000, 1.042156, 0.049747, 0.259902
0.703000, 1.042533, 0.049847, 0.258317
0.704000, 1.042910, 0.049947, 0.256739
0.705000, 1.043287, 0.050046, 0.255171
0.706000, 1.043665, 0.050144, 0.253611
0.707000, 1.044043, 0.050242, 0.252059
0.708000, 1.044421, 0.050340, 0.250516
0.709000, 1.044800, 0.050437, 0.248981
0.710000, 1.045179, 0.050533, 0.247455
0.711000, 1.045558, 0.050629, 0.245937
0.712000, 1.045938, 0.050724, 0.244427
0.713000, 1.046318, 0.050819, 0.242925
0.714000, 1.046698, 0.050913, 0.241432
0.715000, 1.047079, 0.051007, 0.239947
0.716000, 1.047460, 0.051100, 0.238470
0.717000, 1.047841, 0.051193, 0.237001
0.718000, 1.048223, 0.051285, 0.235540
0.719000, 1.048605, 0.051377, 0.234088
0.720000, 1.048988, 0.051468, 0.232643
