time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404146
0.002000, -1.464101, 17.663195
0.003000, -1.435648, 24.856906
0.004000, -1.401481, 31.063411
0.005000, -1.362475, 36.358404
0.006000, -1.319432, 40.814758
0.007000, -1.273086, 44.502230
0.008000, -1.224106, 47.487234
0.009000, -1.173101, 49.832711
0.010000, -1.120620, 51.598075
0.011000, -1.067160, 52.839231
0.012000, -1.013167, 53.608647
0.013000, -0.959038, 53.955460
0.014000, -0.905128, 53.925623
0.015000, -0.851747, 53.562043
0.016000, -0.799171, 52.904737
0.017000, -0.747637, 51.990974
0.018000, -0.697349, 50.855408
0.019000, -0.648482, 49.530192
0.020000, -0.601179, 48.045093
0.021000, -0.555561, 46.427581
0.022000, -0.511720, 44.702923
0.023000, -0.469730, 42.894262
0.024000, -0.429643, 41.022703
0.025000, -0.391493, 39.107395
0.026000, -0.355299, 37.165614
0.027000, -0.321062, 35.212849
0.028000, -0.288774, 33.262897
0.029000, -0.258414, 31.327952
0.030000, -0.229950, 29.418706
0.031000, -0.203342, 27.544438
0.032000, -0.178545, 25.713123
0.033000, -0.155504, 23.931516
0.034000, -0.134162, 22.205260
0.035000, -0.114456, 20.538969
0.036000, -0.096321, 18.936323
0.037000, -0.079689, 17.400154
0.038000, -0.064490, 15.932527
0.039000, -0.050654, 14.534816
0.040000, -0.038110, 13.207783
0.041000, -0.026787, 11.951639
0.042000, -0.016613, 10.766114
0.043000, -0.007521, 9.650514
0.044000, 0.000560, 8.603777
0.045000, 0.007695, 7.624524
0.046000, 0.013949, 6.711103
0.047000, 0.019386, 5.861636
0.048000, 0.024066, 5.074056
0.049000, 0.028048, 4.346143
0.050000, 0.031389, 3.675556
0.051000, 0.034141, 3.059862
0.052000, 0.036356, 2.496564
0.053000, 0.038082, 1.983124
0.054000, 0.039366, 1.516983
0.055000, 0.040251, 1.095579
0.056000, 0.040778, 0.716368
0.057000, 0.040985, 0.376832
0.058000, 0.040908, 0.074497
0.059000, 0.040581, -0.193058
0.060000, 0.040035, -0.428194
0.061000, 0.039300, -0.633200
0.062000, 0.038401, -0.810291
0.063000, 0.037364, -0.961600
0.064000, 0.036211, -1.089174
0.065000, 0.034963, -1.194972
0.066000, 0.033639, -1.280862
0.067000, 0.032256, -1.348623
0.068000, 0.030831, -1.399938
0.069000, 0.029376, -1.436399
0.070000, 0.027905, -1.459509
0.071000, 0.026429, -1.470677
0.072000, 0.024957, -1.471224
0.073000, 0.023499, -1.462386
0.074000, 0.022063, -1.445313
0.075000, 0.020654, -1.421074
0.076000, 0.019278, -1.390657
0.077000, 0.017941, -1.354976
0.078000, 0.016646, -1.314871
0.079000, 0.015397, -1.271111
0.080000, 0.014196, -1.224399
0.081000, 0.013045, -1.175377
0.082000, 0.011946, -1.124624
0.083000, 0.010899, -1.072663
0.084000, 0.009906, -1.019965
0.085000, 0.008965, -0.966948
0.086000, 0.008078, -0.913987
0.087000, 0.007243, -0.861411
0.088000, 0.006459, -0.809507
0.089000, 0.005726, -0.758526
0.090000, 0.005042, -0.708683
0.091000, 0.004406, -0.660162
0.092000, 0.003817, -0.613116
0.093000, 0.003272, -0.567670
0.094000, 0.002770, -0.523927
0.095000, 0.002309, -0.481965
0.096000, 0.001887, -0.441841
0.097000, 0.001502, -0.403597
0.098000, 0.001153, -0.367254
0.099000, 0.000838, -0.332822
0.100000, 0.000554, -0.300296
0.101000, 0.000299, -0.269660
0.102000, 0.000073, -0.240887
0.103000, -0.000128, -0.213943
0.104000, -0.000304, -0.188785
0.105000, -0.000457, -0.165365
0.106000, -0.000590, -0.143627
0.107000, -0.000704, -0.123514
0.108000, -0.000799, -0.104963
0.109000, -0.000879, -0.087911
0.110000, -0.000943, -0.072289
0.111000, -0.000994, -0.058031
0.112000, -0.001033, -0.045068
0.113000, -0.001060, -0.033331
0.114000, -0.001078, -0.022751
0.115000, -0.001086, -0.013260
0.116000, -0.001087, -0.004793
0.117000, -0.001080, 0.002718
0.118000, -0.001068, 0.009336
0.119000, -0.001050, 0.015123
0.120000, -0.001027, 0.020139
0.121000, -0.001000, 0.024443
0.122000, -0.000970, 0.028090
0.123000, -0.000938, 0.031134
0.124000, -0.000903, 0.033626
0.125000, -0.000866, 0.035614
0.126000, -0.000828, 0.037144
0.127000, -0.000790, 0.038261
0.128000, -0.000750, 0.039005
0.129000, -0.000711, 0.039415
0.130000, -0.000671, 0.039527
0.131000, -0.000632, 0.039376
0.132000, -0.000593, 0.038993
0.133000, -0.000555, 0.038407
0.134000, -0.000517, 0.037646
0.135000, -0.000481, 0.036736
0.136000, -0.000446, 0.035698
0.137000, -0.000412, 0.034556
0.138000, -0.000379, 0.033327
0.139000, -0.000348, 0.032031
0.140000, -0.000318, 0.030682
0.141000, -0.000289, 0.029297
0.142000, -0.000262, 0.027887
0.143000, -0.000236, 0.026465
0.144000, -0.000212, 0.025040
0.145000, -0.000189, 0.023624
0.146000, -0.000168, 0.022222
0.147000, -0.000147, 0.020843
0.148000, -0.000129, 0.019493
0.149000, -0.000111, 0.018176
0.150000, -0.000095, 0.016898
0.151000, -0.000080, 0.015662
0.152000, -0.000066, 0.014470
0.153000, -0.000053, 0.013326
0.154000, -0.000042, 0.012230
0.155000, -0.000031, 0.011185
0.156000, -0.000021, 0.010191
0.157000, -0.000012, 0.009248
0.158000, -0.000004, 0.008356
0.159000, 0.000003, 0.007515
0.160000, 0.000009, 0.006724
0.161000, 0.000015, 0.005983
0.162000, 0.000020, 0.005290
0.163000, 0.000024, 0.004645
0.164000, 0.000028, 0.004045
0.165000, 0.000031, 0.003489
0.166000, 0.000034, 0.002976
0.167000, 0.000036, 0.002504
0.168000, 0.000038, 0.002071
0.169000, 0.000039, 0.001675
0.170000, 0.000040, 0.001315
0.171000, 0.000041, 0.000988
0.172000, 0.000042, 0.000693
0.173000, 0.000042, 0.000428
0.174000, 0.000042, 0.000191
0.175000, 0.000042, -0.000020
0.176000, 0.000042, -0.000206
0.177000, 0.000041, -0.000369
0.178000, 0.000041, -0.000511
0.179000, 0.000040, -0.000633
0.180000, 0.000039, -0.000737
0.181000, 0.000038, -0.000825
0.182000, 0.000037, -0.000897
0.183000, 0.000036, -0.000955
0.184000, 0.000035, -0.001000
0.185000, 0.000034, -0.001034
0.186000, 0.000033, -0.001057
0.187000, 0.000032, -0.001071
0.188000, 0.000031, -0.001077
0.189000, 0.000030, -0.001076
0.190000, 0.000029, -0.001067
0.191000, 0.000028, -0.001053
0.192000, 0.000027, -0.001035
0.193000, 0.000026, -0.001012
0.194000, 0.000025, -0.000985
0.195000, 0.000024, -0.000955
0.196000, 0.000023, -0.000923
0.197000, 0.000022, -0.000889
0.198000, 0.000021, -0.000853
0.199000, 0.000020, -0.000816
0.200000, 0.000020, -0.000778
0.201000, 0.000019, -0.000740
0.202000, 0.000018, -0.000702
0.203000, 0.000018, -0.000664
0.204000, 0.000017, -0.000626
0.205000, 0.000016, -0.000589
0.206000, 0.000016, -0.000552
0.207000, 0.000015, -0.000516
0.208000, 0.000015, -0.000482
0.209000, 0.000015, -0.000448
0.210000, 0.000014, -0.000416
0.211000, 0.000014, -0.000384
0.212000, 0.000013, -0.000355
0.213000, 0.000013, -0.000326
0.214000, 0.000013, -0.000299
0.215000, 0.000013, -0.000273
0.216000, 0.000012, -0.000248
0.217000, 0.000012, -0.000225
0.218000, 0.000012, -0.000204
0.219000, 0.000012, -0.000183
0.220000, 0.000012, -0.000164
0.221000, 0.000011, -0.000146
0.222000, 0.000011, -0.000130
0.223000, 0.000011, -0.000115
0.224000, 0.000011, -0.000100
0.225000, 0.000011, -0.000087
0.226000, 0.000011, -0.000075
0.227000, 0.000011, -0.000064
0.228000, 0.000011, -0.000054
0.229000, 0.000011, -0.000045
0.230000, 0.000011, -0.000037
0.231000, 0.000011, -0.000030
0.232000, 0.000011, -0.000023
0.233000, 0.000011, -0.000017
0.234000, 0.000011, -0.000012
0.235000, 0.000011, -0.000007
0.236000, 0.000011, -0.000003
0.237000, 0.000011, 0.000000
0.238000, 0.000011, 0.000003
0.239000, 0.000011, 0.000006
0.240000, 0.000011, 0.000008
0.241000, 0.000011, 0.000009
0.242000, 0.000011, 0.000011
0.243000, 0.000011, 0.000012
0.244000, 0.000011, 0.000013
0.245000, 0.000011, 0.000013
0.246000, 0.000011, 0.000013
0.247000, 0.000011, 0.000013
0.248000, 0.000011, 0.000013
0.249000, 0.000011, 0.000013
0.250000, 0.000011, 0.000012
0.251000, 0.000011, 0.000012
0.252000, 0.000011, 0.000011
0.253000, 0.000011, 0.000010
0.254000, 0.000011, 0.000009
0.255000, 0.000011, 0.000009
0.256000, 0.000011, 0.000008
0.257000, 0.000011, 0.000007
0.258000, 0.000011, 0.000006
0.259000, 0.000011, 0.000005
0.260000, 0.000011, 0.000004
0.261000, 0.000011, 0.000003
0.262000, 0.000011, 0.000002
0.263000, 0.000011, 0.000001
0.264000, 0.000011, -0.000000
0.265000, 0.000011, -0.000001
0.266000, 0.000011, -0.000002
0.267000, 0.000011, -0.000003
0.268000, 0.000011, -0.000004
0.269000, 0.000011, -0.000005
0.270000, 0.000011, -0.000006
0.271000, 0.000011, -0.000007
0.272000, 0.000011, -0.000007
0.273000, 0.000011, -0.000008
0.274000, 0.000011, -0.000009
0.275000, 0.000011, -0.000009
0.276000, 0.000011, -0.000010
0.277000, 0.000011, -0.000010
0.278000, 0.000011, -0.000011
0.279000, 0.000011, -0.000011
0.280000, 0.000011, -0.000012
