time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404153
0.002000, -1.464331, 17.509908
0.003000, -1.436431, 24.436904
0.004000, -1.403203, 30.297286
0.005000, -1.365559, 35.195451
0.006000, -1.324314, 39.228227
0.007000, -1.280201, 42.485098
0.008000, -1.233871, 45.048494
0.009000, -1.185904, 46.994125
0.010000, -1.136814, 48.391365
0.011000, -1.087054, 49.303648
0.012000, -1.037022, 49.788884
0.013000, -0.987067, 49.899866
0.014000, -0.937490, 49.684668
0.015000, -0.888552, 49.187020
0.016000, -0.840475, 48.446654
0.017000, -0.793449, 47.499623
0.018000, -0.747631, 46.378594
0.019000, -0.703151, 45.113105
0.020000, -0.660113, 43.729810
0.021000, -0.618598, 42.252684
0.022000, -0.578670, 40.703229
0.023000, -0.540371, 39.100653
0.024000, -0.503728, 37.462038
0.025000, -0.468755, 35.802498
0.026000, -0.435453, 34.135335
0.027000, -0.403813, 32.472174
0.028000, -0.373814, 30.823103
0.029000, -0.345431, 29.196803
0.030000, -0.318628, 27.600667
0.031000, -0.293367, 26.040920
0.032000, -0.269603, 24.522728
0.033000, -0.247289, 23.050302
0.034000, -0.226374, 21.626996
0.035000, -0.206804, 20.255396
0.036000, -0.188526, 18.937408
0.037000, -0.171483, 17.674335
0.038000, -0.155620, 16.466945
0.039000, -0.140880, 15.315546
0.040000, -0.127208, 14.220038
0.041000, -0.114548, 13.179972
0.042000, -0.102846, 12.194603
0.043000, -0.092049, 11.262929
0.044000, -0.082105, 10.383738
0.045000, -0.072963, 9.555641
0.046000, -0.064575, 8.777104
0.047000, -0.056894, 8.046483
0.048000, -0.049874, 7.362044
0.049000, -0.043472, 6.721990
0.050000, -0.037646, 6.124478
0.051000, -0.032357, 5.567642
0.052000, -0.027567, 5.049601
0.053000, -0.023239, 4.568482
0.054000, -0.019339, 4.122423
0.055000, -0.015836, 3.709588
0.056000, -0.012699, 3.328174
0.057000, -0.009898, 2.976419
0.058000, -0.007407, 2.652606
0.059000, -0.005201, 2.355071
0.060000, -0.003255, 2.082202
0.061000, -0.001548, 1.832447
0.062000, -0.000058, 1.604314
0.063000, 0.001235, 1.396371
0.064000, 0.002347, 1.207249
0.065000, 0.003297, 1.035644
0.066000, 0.004100, 0.880310
0.067000, 0.004770, 0.740068
0.068000, 0.005321, 0.613798
