time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404541
0.002000, -1.478348, 8.164900
0.003000, -1.470027, 8.269416
0.004000, -1.461855, 8.204475
0.005000, -1.453715, 8.161228
0.006000, -1.445623, 8.115524
0.007000, -1.437575, 8.070415
0.008000, -1.429572, 8.025512
0.009000, -1.421613, 7.980864
0.010000, -1.413699, 7.936463
0.011000, -1.405829, 7.892308
0.012000, -1.398002, 7.848397
0.013000, -1.390219, 7.804730
0.014000, -1.382480, 7.761305
0.015000, -1.374783, 7.718121
0.016000, -1.367129, 7.675177
0.017000, -1.359518, 7.632470
0.018000, -1.351950, 7.590001
0.019000, -1.344423, 7.547767
0.020000, -1.336938, 7.505767
0.021000, -1.329495, 7.464001
0.022000, -1.322093, 7.422466
0.023000, -1.314733, 7.381162
0.024000, -1.307413, 7.340087
0.025000, -1.300134, 7.299239
0.026000, -1.292896, 7.258619
0.027000, -1.285698, 7.218224
0.028000, -1.278540, 7.178053
0.029000, -1.271422, 7.138105
0.030000, -1.264343, 7.098379
0.031000, -1.257304, 7.058874
0.032000, -1.250304, 7.019588
0.033000, -1.243343, 6.980520
0.034000, -1.236421, 6.941669
0.035000, -1.229537, 6.903034
0.036000, -1.222692, 6.864613
0.037000, -1.215885, 6.826406
0.038000, -1.209115, 6.788411
0.039000, -1.202384, 6.750627
0.040000, -1.195689, 6.713053
0.041000, -1.189032, 6.675687
0.042000, -1.182412, 6.638530
0.043000, -1.175829, 6.601578
0.044000, -1.169283, 6.564832
0.045000, -1.162773, 6.528291
0.046000, -1.156299, 6.491952
0.047000, -1.149861, 6.455815
0.048000, -1.143459, 6.419879
0.049000, -1.137093, 6.384143
0.050000, -1.130762, 6.348605
0.051000, -1.124467, 6.313265
0.052000, -1.118206, 6.278122
0.053000, -1.111980, 6.243173
0.054000, -1.105789, 6.208419
0.055000, -1.099633, 6.173859
0.056000, -1.093510, 6.139490
0.057000, -1.087422, 6.105312
0.058000, -1.081368, 6.071325
0.059000, -1.075347, 6.037526
0.060000, -1.069360, 6.003916
0.061000, -1.063406, 5.970492
0.062000, -1.057486, 5.937254
0.063000, -1.051598, 5.904201
0.064000, -1.045743, 5.871332
0.065000, -1.039921, 5.838645
0.066000, -1.034131, 5.806141
0.067000, -1.028373, 5.773817
0.068000, -1.022648, 5.741673
0.069000, -1.016954, 5.709708
0.070000, -1.011292, 5.677920
0.071000, -1.005662, 5.646310
0.072000, -1.000062, 5.614875
0.073000, -0.994494, 5.583615
0.074000, -0.988957, 5.552529
0.075000, -0.983451, 5.521616
0.076000, -0.977976, 5.490875
0.077000, -0.972531, 5.460305
0.078000, -0.967116, 5.429905
0.079000, -0.961731, 5.399674
0.080000, -0.956377, 5.369611
0.081000, -0.951052, 5.339716
0.082000, -0.945757, 5.309987
0.083000, -0.940491, 5.280423
0.084000, -0.935255, 5.251024
0.085000, -0.930048, 5.221788
0.086000, -0.924870, 5.192716
0.087000, -0.919720, 5.163804
0.088000, -0.914600, 5.135054
0.089000, -0.909507, 5.106464
0.090000, -0.904444, 5.078033
0.091000, -0.899408, 5.049760
0.092000, -0.894400, 5.021645
0.093000, -0.889421, 4.993686
0.094000, -0.884469, 4.965882
0.095000, -0.879544, 4.938234
0.096000, -0.874647, 4.910739
0.097000, -0.869778, 4.883397
0.098000, -0.864935, 4.856208
0.099000, -0.860119, 4.829169
0.100000, -0.855331, 4.802282
0.101000, -0.850568, 4.775544
0.102000, -0.845833, 4.748954
0.103000, -0.841123, 4.722513
0.104000, -0.836440, 4.696219
0.105000, -0.831783, 4.670072
0.106000, -0.827152, 4.644069
0.107000, -0.822547, 4.618212
0.108000, -0.817967, 4.592499
0.109000, -0.813413, 4.566928
0.110000, -0.808884, 4.541500
0.111000, -0.804381, 4.516214
0.112000, -0.799902, 4.491068
0.113000, -0.795449, 4.466063
0.114000, -0.791020, 4.441196
0.115000, -0.786616, 4.416468
0.116000, -0.782236, 4.391878
0.117000, -0.777881, 4.367425
0.118000, -0.773550, 4.343107
0.119000, -0.769243, 4.318925
0.120000, -0.764960, 4.294878
0.121000, -0.760701, 4.270965
0.122000, -0.756466, 4.247184
0.123000, -0.752254, 4.223537
0.124000, -0.748066, 4.200020
0.125000, -0.743901, 4.176635
0.126000, -0.739760, 4.153380
0.127000, -0.735641, 4.130254
0.128000, -0.731545, 4.107258
0.129000, -0.727472, 4.084389
0.130000, -0.723422, 4.061647
0.131000, -0.719394, 4.039032
0.132000, -0.715389, 4.016543
0.133000, -0.711406, 3.994180
0.134000, -0.707445, 3.971941
0.135000, -0.703506, 3.949825
0.136000, -0.699589, 3.927833
0.137000, -0.695694, 3.905963
0.138000, -0.691821, 3.884215
0.139000, -0.687969, 3.862588
0.140000, -0.684139, 3.841082
0.141000, -0.680330, 3.819695
0.142000, -0.676542, 3.798427
0.143000, -0.672775, 3.777278
0.144000, -0.669030, 3.756246
0.145000, -0.665305, 3.735332
0.146000, -0.661601, 3.714534
0.147000, -0.657917, 3.693852
0.148000, -0.654254, 3.673285
0.149000, -0.650612, 3.652833
0.150000, -0.646989, 3.632494
0.151000, -0.643387, 3.612269
0.152000, -0.639805, 3.592156
0.153000, -0.636243, 3.572155
0.154000, -0.632700, 3.552266
0.155000, -0.629178, 3.532488
0.156000, -0.625675, 3.512819
0.157000, -0.622191, 3.493260
0.158000, -0.618727, 3.473810
0.159000, -0.615283, 3.454468
0.160000, -0.611857, 3.435234
0.161000, -0.608450, 3.416108
0.162000, -0.605063, 3.397087
0.163000, -0.601694, 3.378173
0.164000, -0.598344, 3.359364
0.165000, -0.595013, 3.340659
0.166000, -0.591700, 3.322059
0.167000, -0.588406, 3.303562
0.168000, -0.585130, 3.285168
0.169000, -0.581872, 3.266877
0.170000, -0.578632, 3.248688
0.171000, -0.575411, 3.230600
0.172000, -0.572207, 3.212612
0.173000, -0.569022, 3.194725
0.174000, -0.565853, 3.176937
0.175000, -0.562703, 3.159249
0.176000, -0.559570, 3.141659
0.177000, -0.556455, 3.124166
0.178000, -0.553357, 3.106772
0.179000, -0.550276, 3.089474
0.180000, -0.547212, 3.072272
0.181000, -0.544166, 3.055166
0.182000, -0.541136, 3.038156
0.183000, -0.538123, 3.021240
0.184000, -0.535127, 3.004419
0.185000, -0.532148, 2.987691
0.186000, -0.529185, 2.971056
0.187000, -0.526239, 2.954514
0.188000, -0.523309, 2.938064
0.189000, -0.520395, 2.921705
0.190000, -0.517498, 2.905438
0.191000, -0.514617, 2.889261
0.192000, -0.511752, 2.873174
