time, theta__error, theta_dot_error
0.000000, -0.000001, -0.000390
0.001000, -0.000002, -0.000757
0.002000, -0.000003, -0.001104
0.003000, -0.000004, -0.001429
0.004000, -0.000006, -0.001735
0.005000, -0.000008, -0.002021
0.006000, -0.000011, -0.002289
0.007000, -0.000014, -0.002539
0.008000, -0.000016, -0.002771
0.009000, -0.000020, -0.002987
0.010000, -0.000023, -0.003186
0.011000, -0.000026, -0.003370
0.012000, -0.000030, -0.003539
0.013000, -0.000034, -0.003693
0.014000, -0.000038, -0.003834
0.015000, -0.000042, -0.003961
0.016000, -0.000046, -0.004076
0.017000, -0.000050, -0.004178
0.018000, -0.000054, -0.004268
0.019000, -0.000059, -0.004347
0.020000, -0.000063, -0.004416
0.021000, -0.000068, -0.004473
0.022000, -0.000072, -0.004521
0.023000, -0.000077, -0.004559
0.024000, -0.000081, -0.004589
0.025000, -0.000086, -0.004609
0.026000, -0.000091, -0.004621
0.027000, -0.000095, -0.004625
0.028000, -0.000100, -0.004622
0.029000, -0.000104, -0.004611
0.030000, -0.000109, -0.004594
0.031000, -0.000114, -0.004570
0.032000, -0.000118, -0.004540
0.033000, -0.000123, -0.004504
0.034000, -0.000127, -0.004463
0.035000, -0.000131, -0.004417
0.036000, -0.000136, -0.004365
0.037000, -0.000140, -0.004309
0.038000, -0.000144, -0.004249
0.039000, -0.000148, -0.004184
0.040000, -0.000152, -0.004116
0.041000, -0.000156, -0.004044
0.042000, -0.000160, -0.003969
0.043000, -0.000164, -0.003890
0.044000, -0.000168, -0.003809
0.045000, -0.000172, -0.003725
0.046000, -0.000175, -0.003639
0.047000, -0.000179, -0.003551
0.048000, -0.000182, -0.003460
0.049000, -0.000186, -0.003368
0.050000, -0.000189, -0.003274
0.051000, -0.000192, -0.003178
0.052000, -0.000195, -0.003081
0.053000, -0.000198, -0.002983
0.054000, -0.000201, -0.002885
0.055000, -0.000203, -0.002785
0.056000, -0.000206, -0.002684
0.057000, -0.000209, -0.002583
0.058000, -0.000211, -0.002482
0.059000, -0.000213, -0.002380
0.060000, -0.000216, -0.002278
0.061000, -0.000218, -0.002176
0.062000, -0.000220, -0.002074
0.063000, -0.000222, -0.001972
0.064000, -0.000224, -0.001871
0.065000, -0.000225, -0.001770
0.066000, -0.000227, -0.001669
0.067000, -0.000228, -0.001569
0.068000, -0.000230, -0.001469
0.069000, -0.000231, -0.001370
0.070000, -0.000232, -0.001272
0.071000, -0.000233, -0.001175
0.072000, -0.000234, -0.001079
0.073000, -0.000235, -0.000983
0.074000, -0.000236, -0.000889
0.075000, -0.000237, -0.000796
0.076000, -0.000238, -0.000704
0.077000, -0.000238, -0.000613
0.078000, -0.000239, -0.000524
0.079000, -0.000239, -0.000435
0.080000, -0.000239, -0.000349
0.081000, -0.000240, -0.000263
0.082000, -0.000240, -0.000179
0.083000, -0.000240, -0.000096
0.084000, -0.000240, -0.000015
0.085000, -0.000240, 0.000065
0.086000, -0.000240, 0.000143
0.087000, -0.000239, 0.000220
0.088000, -0.000239, 0.000295
0.089000, -0.000239, 0.000368
0.090000, -0.000238, 0.000440
0.091000, -0.000237, 0.000511
0.092000, -0.000237, 0.000579
0.093000, -0.000236, 0.000646
0.094000, -0.000235, 0.000712
0.095000, -0.000235, 0.000776
0.096000, -0.000234, 0.000838
0.097000, -0.000233, 0.000898
0.098000, -0.000232, 0.000957
0.099000, -0.000231, 0.001015
0.100000, -0.000230, 0.001070
0.101000, -0.000229, 0.001124
0.102000, -0.000227, 0.001176
0.103000, -0.000226, 0.001227
0.104000, -0.000225, 0.001276
0.105000, -0.000223, 0.001324
0.106000, -0.000222, 0.001370
0.107000, -0.000221, 0.001414
0.108000, -0.000219, 0.001457
0.109000, -0.000218, 0.001498
0.110000, -0.000216, 0.001537
0.111000, -0.000214, 0.001575
0.112000, -0.000213, 0.001612
0.113000, -0.000211, 0.001647
0.114000, -0.000210, 0.001680
0.115000, -0.000208, 0.001712
0.116000, -0.000206, 0.001743
0.117000, -0.000204, 0.001772
0.118000, -0.000202, 0.001800
0.119000, -0.000201, 0.001826
0.120000, -0.000199, 0.001851
0.121000, -0.000197, 0.001874
0.122000, -0.000195, 0.001897
0.123000, -0.000193, 0.001917
0.124000, -0.000191, 0.001937
0.125000, -0.000189, 0.001955
0.126000, -0.000187, 0.001972
0.127000, -0.000185, 0.001988
0.128000, -0.000183, 0.002003
0.129000, -0.000181, 0.002016
0.130000, -0.000179, 0.002029
0.131000, -0.000177, 0.002040
0.132000, -0.000175, 0.002050
0.133000, -0.000173, 0.002059
0.134000, -0.000171, 0.002067
0.135000, -0.000169, 0.002073
0.136000, -0.000167, 0.002079
0.137000, -0.000165, 0.002084
0.138000, -0.000162, 0.002088
0.139000, -0.000160, 0.002091
0.140000, -0.000158, 0.002092
0.141000, -0.000156, 0.002093
0.142000, -0.000154, 0.002093
0.143000, -0.000152, 0.002093
0.144000, -0.000150, 0.002091
0.145000, -0.000148, 0.002089
0.146000, -0.000146, 0.002085
0.147000, -0.000144, 0.002082
0.148000, -0.000142, 0.002077
0.149000, -0.000140, 0.002071
0.150000, -0.000137, 0.002065
0.151000, -0.000135, 0.002058
0.152000, -0.000133, 0.002051
0.153000, -0.000131, 0.002043
0.154000, -0.000129, 0.002034
0.155000, -0.000127, 0.002024
0.156000, -0.000125, 0.002014
0.157000, -0.000123, 0.002004
0.158000, -0.000121, 0.001993
0.159000, -0.000119, 0.001981
0.160000, -0.000117, 0.001969
0.161000, -0.000115, 0.001957
0.162000, -0.000113, 0.001944
0.163000, -0.000112, 0.001930
0.164000, -0.000110, 0.001916
0.165000, -0.000108, 0.001902
0.166000, -0.000106, 0.001887
0.167000, -0.000104, 0.001872
0.168000, -0.000102, 0.001857
0.169000, -0.000100, 0.001841
0.170000, -0.000098, 0.001825
0.171000, -0.000097, 0.001808
0.172000, -0.000095, 0.001792
0.173000, -0.000093, 0.001775
0.174000, -0.000091, 0.001758
0.175000, -0.000090, 0.001740
0.176000, -0.000088, 0.001723
0.177000, -0.000086, 0.001705
0.178000, -0.000085, 0.001687
0.179000, -0.000083, 0.001668
0.180000, -0.000081, 0.001650
0.181000, -0.000080, 0.001631
0.182000, -0.000078, 0.001613
0.183000, -0.000076, 0.001594
0.184000, -0.000075, 0.001575
0.185000, -0.000073, 0.001556
0.186000, -0.000072, 0.001537
0.187000, -0.000070, 0.001517
0.188000, -0.000069, 0.001498
0.189000, -0.000067, 0.001479
0.190000, -0.000066, 0.001459
0.191000, -0.000064, 0.001440
0.192000, -0.000063, 0.001420
0.193000, -0.000062, 0.001401
0.194000, -0.000060, 0.001381
0.195000, -0.000059, 0.001362
0.196000, -0.000058, 0.001342
0.197000, -0.000056, 0.001323
0.198000, -0.000055, 0.001303
0.199000, -0.000054, 0.001284
0.200000, -0.000052, 0.001265
0.201000, -0.000051, 0.001245
0.202000, -0.000050, 0.001226
0.203000, -0.000049, 0.001207
0.204000, -0.000048, 0.001188
0.205000, -0.000046, 0.001169
0.206000, -0.000045, 0.001150
0.207000, -0.000044, 0.001131
0.208000, -0.000043, 0.001112
0.209000, -0.000042, 0.001093
0.210000, -0.000041, 0.001075
0.211000, -0.000040, 0.001056
0.212000, -0.000039, 0.001038
0.213000, -0.000038, 0.001020
0.214000, -0.000037, 0.001002
0.215000, -0.000036, 0.000984
0.216000, -0.000035, 0.000966
0.217000, -0.000034, 0.000948
0.218000, -0.000033, 0.000931
0.219000, -0.000032, 0.000913
0.220000, -0.000031, 0.000896
0.221000, -0.000030, 0.000879
0.222000, -0.000030, 0.000862
0.223000, -0.000029, 0.000846
0.224000, -0.000028, 0.000829
0.225000, -0.000027, 0.000813
0.226000, -0.000026, 0.000796
0.227000, -0.000026, 0.000780
0.228000, -0.000025, 0.000764
0.229000, -0.000024, 0.000749
0.230000, -0.000023, 0.000733
0.231000, -0.000023, 0.000718
0.232000, -0.000022, 0.000703
0.233000, -0.000021, 0.000688
0.234000, -0.000021, 0.000673
0.235000, -0.000020, 0.000658
0.236000, -0.000019, 0.000644
0.237000, -0.000019, 0.000630
0.238000, -0.000018, 0.000616
0.239000, -0.000017, 0.000602
0.240000, -0.000017, 0.000588
0.241000, -0.000016, 0.000575
0.242000, -0.000016, 0.000561
0.243000, -0.000015, 0.000548
0.244000, -0.000015, 0.000535
0.245000, -0.000014, 0.000523
0.246000, -0.000014, 0.000510
0.247000, -0.000013, 0.000498
0.248000, -0.000013, 0.000486
0.249000, -0.000012, 0.000474
0.250000, -0.000012, 0.000462
0.251000, -0.000011, 0.000450
0.252000, -0.000011, 0.000439
0.253000, -0.000010, 0.000428
0.254000, -0.000010, 0.000417
0.255000, -0.000010, 0.000406
0.256000, -0.000009, 0.000395
0.257000, -0.000009, 0.000385
0.258000, -0.000009, 0.000375
0.259000, -0.000008, 0.000365
0.260000, -0.000008, 0.000355
0.261000, -0.000007, 0.000345
0.262000, -0.000007, 0.000335
0.263000, -0.000007, 0.000326
0.264000, -0.000007, 0.000317
0.265000, -0.000006, 0.000308
0.266000, -0.000006, 0.000299
0.267000, -0.000006, 0.000290
0.268000, -0.000005, 0.000282
0.269000, -0.000005, 0.000273
0.270000, -0.000005, 0.000265
0.271000, -0.000005, 0.000257
0.272000, -0.000004, 0.000249
0.273000, -0.000004, 0.000242
0.274000, -0.000004, 0.000234
0.275000, -0.000004, 0.000227
0.276000, -0.000003, 0.000220
0.277000, -0.000003, 0.000213
0.278000, -0.000003, 0.000206
0.279000, -0.000003, 0.000199
0.280000, -0.000003, 0.000192
0.281000, -0.000002, 0.000186
0.282000, -0.000002, 0.000180
0.283000, -0.000002, 0.000173
0.284000, -0.000002, 0.000167
0.285000, -0.000002, 0.000161
0.286000, -0.000002, 0.000156
0.287000, -0.000001, 0.000150
0.288000, -0.000001, 0.000145
0.289000, -0.000001, 0.000139
0.290000, -0.000001, 0.000134
0.291000, -0.000001, 0.000129
0.292000, -0.000001, 0.000124
0.293000, -0.000001, 0.000119
0.294000, -0.000001, 0.000115
0.295000, -0.000000, 0.000110
0.296000, -0.000000, 0.000106
0.297000, -0.000000, 0.000101
0.298000, -0.000000, 0.000097
0.299000, -0.000000, 0.000093
0.300000, -0.000000, 0.000089
0.301000, 0.000000, 0.000085
0.302000, 0.000000, 0.000081
0.303000, 0.000000, 0.000077
0.304000, 0.000000, 0.000074
0.305000, 0.000000, 0.000070
0.306000, 0.000000, 0.000067
0.307000, 0.000001, 0.000064
0.308000, 0.000001, 0.000061
0.309000, 0.000001, 0.000057
0.310000, 0.000001, 0.000054
0.311000, 0.000001, 0.000052
0.312000, 0.000001, 0.000049
0.313000, 0.000001, 0.000046
0.314000, 0.000001, 0.000043
0.315000, 0.000001, 0.000041
0.316000, 0.000001, 0.000038
0.317000, 0.000001, 0.000036
0.318000, 0.000001, 0.000034
0.319000, 0.000001, 0.000031
0.320000, 0.000001, 0.000029
0.321000, 0.000001, 0.000027
0.322000, 0.000001, 0.000025
0.323000, 0.000001, 0.000023
0.324000, 0.000001, 0.000021
0.325000, 0.000001, 0.000020
0.326000, 0.000001, 0.000018
0.327000, 0.000001, 0.000016
0.328000, 0.000001, 0.000014
0.329000, 0.000001, 0.000013
0.330000, 0.000001, 0.000011
0.331000, 0.000001, 0.000010
0.332000, 0.000001, 0.000009
0.333000, 0.000001, 0.000007
0.334000, 0.000001, 0.000006
0.335000, 0.000001, 0.000005
0.336000, 0.000001, 0.000004
0.337000, 0.000001, 0.000003
0.338000, 0.000001, 0.000002
0.339000, 0.000001, 0.000000
0.340000, 0.000001, -0.000000
0.341000, 0.000001, -0.000001
0.342000, 0.000001, -0.000002
0.343000, 0.000001, -0.000003
0.344000, 0.000001, -0.000004
0.345000, 0.000001, -0.000005
0.346000, 0.000001, -0.000005
0.347000, 0.000001, -0.000006
0.348000, 0.000001, -0.000007
0.349000, 0.000001, -0.000007
0.350000, 0.000001, -0.000008
0.351000, 0.000001, -0.000008
0.352000, 0.000001, -0.000009
0.353000, 0.000001, -0.000009
0.354000, 0.000001, -0.000010
0.355000, 0.000001, -0.000010
0.356000, 0.000001, -0.000011
0.357000, 0.000001, -0.000011
0.358000, 0.000001, -0.000011
0.359000, 0.000001, -0.000012
0.360000, 0.000001, -0.000012
0.361000, 0.000001, -0.000012
0.362000, 0.000001, -0.000012
0.363000, 0.000001, -0.000013
0.364000, 0.000001, -0.000013
0.365000, 0.000001, -0.000013
0.366000, 0.000001, -0.000013
0.367000, 0.000001, -0.000013
0.368000, 0.000001, -0.000013
0.369000, 0.000001, -0.000013
0.370000, 0.000001, -0.000013
0.371000, 0.000001, -0.000013
0.372000, 0.000001, -0.000013
0.373000, 0.000001, -0.000013
0.374000, 0.000001, -0.000013
0.375000, 0.000001, -0.000013
0.376000, 0.000001, -0.000013
0.377000, 0.000001, -0.000013
0.378000, 0.000001, -0.000013
0.379000, 0.000001, -0.000013
0.380000, 0.000001, -0.000013
0.381000, 0.000001, -0.000013
0.382000, 0.000001, -0.000013
0.383000, 0.000001, -0.000013
0.384000, 0.000001, -0.000013
0.385000, 0.000001, -0.000013
0.386000, 0.000001, -0.000012
0.387000, 0.000001, -0.000012
0.388000, 0.000001, -0.000012
0.389000, 0.000001, -0.000012
0.390000, 0.000001, -0.000012
0.391000, 0.000001, -0.000012
0.392000, 0.000001, -0.000011
0.393000, 0.000001, -0.000011
0.394000, 0.000001, -0.000011
0.395000, 0.000001, -0.000011
0.396000, 0.000001, -0.000011
0.397000, 0.000001, -0.000011
0.398000, 0.000001, -0.000010
0.399000, 0.000001, -0.000010
0.400000, 0.000001, -0.000010
0.401000, 0.000001, -0.000010
0.402000, 0.000001, -0.000009
0.403000, 0.000001, -0.000009
0.404000, 0.000001, -0.000009
0.405000, 0.000001, -0.000009
0.406000, 0.000001, -0.000009
0.407000, 0.000001, -0.000008
0.408000, 0.000001, -0.000008
0.409000, 0.000001, -0.000008
0.410000, 0.000001, -0.000008
0.411000, 0.000001, -0.000007
0.412000, 0.000001, -0.000007
0.413000, 0.000001, -0.000007
0.414000, 0.000001, -0.000007
0.415000, 0.000001, -0.000007
0.416000, 0.000000, -0.000006
0.417000, 0.000000, -0.000006
0.418000, 0.000000, -0.000006
0.419000, 0.000000, -0.000006
0.420000, 0.000000, -0.000005
0.421000, 0.000000, -0.000005
0.422000, 0.000000, -0.000005
0.423000, 0.000000, -0.000005
0.424000, 0.000000, -0.000004
0.425000, 0.000000, -0.000004
0.426000, 0.000000, -0.000004
0.427000, 0.000000, -0.000004
0.428000, 0.000000, -0.000004
0.429000, 0.000000, -0.000003
0.430000, 0.000000, -0.000003
0.431000, 0.000000, -0.000003
0.432000, 0.000000, -0.000003
0.433000, 0.000000, -0.000003
0.434000, 0.000000, -0.000002
0.435000, 0.000000, -0.000002
0.436000, 0.000000, -0.000002
0.437000, 0.000000, -0.000002
0.438000, 0.000000, -0.000002
0.439000, 0.000000, -0.000001
0.440000, 0.000000, -0.000001
0.441000, 0.000000, -0.000001
0.442000, 0.000000, -0.000001
0.443000, 0.000000, -0.000001
0.444000, 0.000000, -0.000001
0.445000, 0.000000, -0.000000
0.446000, 0.000000, -0.000000
0.447000, 0.000000, -0.000000
0.448000, 0.000000, 0.000000
0.449000, -0.680344, 0.000000
0.450000, -0.679705, 0.426569
0.451000, -0.678662, 0.837462
0.452000, -0.677231, 1.232987
0.453000, -0.675427, 1.613450
0.454000, -0.673265, 1.979156
0.455000, -0.670759, 2.330408
0.456000, -0.667923, 2.667508
0.457000, -0.664771, 2.990756
0.458000, -0.661316, 3.300449
0.459000, -0.657570, 3.596884
0.460000, -0.653548, 3.880354
0.461000, -0.649262, 4.151152
0.462000, -0.644723, 4.409565
0.463000, -0.639944, 4.655880
0.464000, -0.634936, 4.890382
0.465000, -0.629712, 5.113350
0.466000, -0.624281, 5.325063
0.467000, -0.618654, 5.525797
0.468000, -0.612844, 5.715822
0.469000, -0.606858, 5.895409
0.470000, -0.600709, 6.064823
0.471000, -0.594405, 6.224326
0.472000, -0.587956, 6.374178
0.473000, -0.581371, 6.514635
0.474000, -0.574659, 6.645948
0.475000, -0.567830, 6.768366
0.476000, -0.560891, 6.882136
0.477000, -0.553850, 6.987499
0.478000, -0.546717, 7.084694
0.479000, -0.539499, 7.173954
0.480000, -0.532202, 7.255512
0.481000, -0.524836, 7.329594
0.482000, -0.517406, 7.396426
0.483000, -0.509920, 7.456226
0.484000, -0.502384, 7.509211
0.485000, -0.494805, 7.555595
0.486000, -0.487190, 7.595587
0.487000, -0.479543, 7.629392
0.488000, -0.471872, 7.657212
0.489000, -0.464182, 7.679246
0.490000, -0.456478, 7.695688
0.491000, -0.448766, 7.706730
0.492000, -0.441050, 7.712560
0.493000, -0.433337, 7.713360
0.494000, -0.425629, 7.709312
0.495000, -0.417933, 7.700593
0.496000, -0.410252, 7.687375
0.497000, -0.402591, 7.669830
0.498000, -0.394954, 7.648122
0.499000, -0.387344, 7.622416
0.500000, -0.379766, 7.592871
0.501000, -0.372223, 7.559643
0.502000, -0.364719, 7.522885
0.503000, -0.357256, 7.482747
0.504000, -0.349838, 7.439375
0.505000, -0.342469, 7.392911
0.506000, -0.335150, 7.343496
0.507000, -0.327885, 7.291267
0.508000, -0.320676, 7.236356
0.509000, -0.313526, 7.178894
0.510000, -0.306437, 7.119009
0.511000, -0.299411, 7.056824
0.512000, -0.292451, 6.992461
0.513000, -0.285558, 6.926037
0.514000, -0.278734, 6.857669
0.515000, -0.271982, 6.787467
0.516000, -0.265302, 6.715543
0.517000, -0.258697, 6.642002
0.518000, -0.252168, 6.566947
0.519000, -0.245715, 6.490482
0.520000, -0.239342, 6.412702
0.521000, -0.233047, 6.333705
0.522000, -0.226834, 6.253582
0.523000, -0.220702, 6.172425
0.524000, -0.214653, 6.090321
0.525000, -0.208687, 6.007355
0.526000, -0.202805, 5.923611
0.527000, -0.197008, 5.839168
0.528000, -0.191297, 5.754103
0.529000, -0.185671, 5.668494
0.530000, -0.180132, 5.582412
0.531000, -0.174679, 5.495929
0.532000, -0.169313, 5.409112
0.533000, -0.164035, 5.322029
0.534000, -0.158844, 5.234743
0.535000, -0.153740, 5.147317
0.536000, -0.148724, 5.059809
0.537000, -0.143795, 4.972278
0.538000, -0.138954, 4.884780
0.539000, -0.134201, 4.797368
0.540000, -0.129534, 4.710094
0.541000, -0.124955, 4.623007
0.542000, -0.120462, 4.536156
0.543000, -0.116056, 4.449586
0.544000, -0.111736, 4.363342
0.545000, -0.107501, 4.277466
0.546000, -0.103352, 4.191999
0.547000, -0.099287, 4.106980
0.548000, -0.095307, 4.022446
0.549000, -0.091411, 3.938432
0.550000, -0.087597, 3.854973
0.551000, -0.083867, 3.772101
0.552000, -0.080218, 3.689848
0.553000, -0.076651, 3.608242
0.554000, -0.073164, 3.527311
0.555000, -0.069757, 3.447083
0.556000, -0.066429, 3.367582
0.557000, -0.063180, 3.288832
0.558000, -0.060008, 3.210855
0.559000, -0.056913, 3.133674
0.560000, -0.053893, 3.057307
0.561000, -0.050949, 2.981773
0.562000, -0.048080, 2.907090
0.563000, -0.045283, 2.833275
0.564000, -0.042559, 2.760341
0.565000, -0.039907, 2.688305
0.566000, -0.037326, 2.617178
0.567000, -0.034814, 2.546972
0.568000, -0.032371, 2.477699
0.569000, -0.029995, 2.409368
0.570000, -0.027687, 2.341989
0.571000, -0.025445, 2.275569
0.572000, -0.023267, 2.210116
0.573000, -0.021154, 2.145636
0.574000, -0.019104, 2.082135
0.575000, -0.017115, 2.019617
0.576000, -0.015188, 1.958087
0.577000, -0.013321, 1.897547
0.578000, -0.011512, 1.837999
0.579000, -0.009762, 1.779446
0.580000, -0.008069, 1.721889
0.581000, -0.006432, 1.665327
0.582000, -0.004850, 1.609760
0.583000, -0.003322, 1.555188
0.584000, -0.001847, 1.501609
0.585000, -0.000425, 1.449020
0.586000, 0.000947, 1.397420
0.587000, 0.002268, 1.346805
0.588000, 0.003541, 1.297171
0.589000, 0.004765, 1.248514
0.590000, 0.005942, 1.200830
0.591000, 0.007073, 1.154113
0.592000, 0.008158, 1.108358
0.593000, 0.009199, 1.063559
0.594000, 0.010197, 1.019710
0.595000, 0.011153, 0.976803
0.596000, 0.012066, 0.934833
0.597000, 0.012940, 0.893791
0.598000, 0.013773, 0.853669
0.599000, 0.014568, 0.814461
0.600000, 0.015325, 0.776157
0.601000, 0.016045, 0.738749
0.602000, 0.016729, 0.702228
0.603000, 0.017378, 0.666585
0.604000, 0.017992, 0.631811
0.605000, 0.018573, 0.597896
0.606000, 0.019122, 0.564831
0.607000, 0.019638, 0.532606
0.608000, 0.020124, 0.501210
0.609000, 0.020579, 0.470634
0.610000, 0.021005, 0.440866
0.611000, 0.021402, 0.411897
0.612000, 0.021772, 0.383716
0.613000, 0.022115, 0.356313
0.614000, 0.022431, 0.329675
0.615000, 0.022722, 0.303793
0.616000, 0.022988, 0.278656
0.617000, 0.023230, 0.254251
0.618000, 0.023449, 0.230569
0.619000, 0.023645, 0.207598
0.620000, 0.023819, 0.185326
0.621000, 0.023972, 0.163743
0.622000, 0.024104, 0.142837
0.623000, 0.024217, 0.122597
0.624000, 0.024310, 0.103011
0.625000, 0.024385, 0.084068
0.626000, 0.024441, 0.065757
0.627000, 0.024480, 0.048067
0.628000, 0.024503, 0.030985
0.629000, 0.024509, 0.014502
0.630000, 0.024500, -0.001395
0.631000, 0.024475, -0.016717
0.632000, 0.024436, -0.031474
0.633000, 0.024384, -0.045678
0.634000, 0.024318, -0.059340
0.635000, 0.024238, -0.072471
0.636000, 0.024147, -0.085082
0.637000, 0.024044, -0.097183
0.638000, 0.023929, -0.108786
0.639000, 0.023804, -0.119902
0.640000, 0.023668, -0.130540
0.641000, 0.023522, -0.140712
0.642000, 0.023367, -0.150428
0.643000, 0.023203, -0.159698
0.644000, 0.023030, -0.168533
0.645000, 0.022848, -0.176942
0.646000, 0.022660, -0.184937
0.647000, 0.022463, -0.192526
0.648000, 0.022260, -0.199720
0.649000, 0.022050, -0.206529
0.650000, 0.021834, -0.212962
0.651000, 0.021612, -0.219029
0.652000, 0.021384, -0.224738
0.653000, 0.021151, -0.230101
0.654000, 0.020914, -0.235124
0.655000, 0.020672, -0.239819
0.656000, 0.020425, -0.244194
0.657000, 0.020175, -0.248256
0.658000, 0.019921, -0.252017
0.659000, 0.019664, -0.255483
0.660000, 0.019404, -0.258663
0.661000, 0.019140, -0.261566
0.662000, 0.018875, -0.264199
0.663000, 0.018607, -0.266572
0.664000, 0.018337, -0.268691
0.665000, 0.018066, -0.270566
0.666000, 0.017793, -0.272202
0.667000, 0.017519, -0.273608
0.668000, 0.017243, -0.274792
0.669000, 0.016967, -0.275761
0.670000, 0.016690, -0.276521
0.671000, 0.016413, -0.277080
0.672000, 0.016135, -0.277445
0.673000, 0.015857, -0.277623
0.674000, 0.015580, -0.277620
0.675000, 0.015302, -0.277442
0.676000, 0.015025, -0.277097
0.677000, 0.014749, -0.276591
0.678000, 0.014474, -0.275929
0.679000, 0.014199, -0.275117
0.680000, 0.013925, -0.274163
0.681000, 0.013653, -0.273070
0.682000, 0.013381, -0.271846
0.683000, 0.013112, -0.270495
0.684000, 0.012843, -0.269024
0.685000, 0.012577, -0.267436
0.686000, 0.012312, -0.265739
0.687000, 0.012049, -0.263935
0.688000, 0.011788, -0.262031
0.689000, 0.011529, -0.260032
0.690000, 0.011272, -0.257941
0.691000, 0.011017, -0.255764
0.692000, 0.010765, -0.253506
0.693000, 0.010515, -0.251169
0.694000, 0.010267, -0.248760
0.695000, 0.010022, -0.246281
0.696000, 0.009780, -0.243738
0.697000, 0.009540, -0.241133
0.698000, 0.009303, -0.238471
0.699000, 0.009068, -0.235756
