time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404122
0.002000, -1.463226, 18.246863
0.003000, -1.432597, 26.501870
0.004000, -1.394624, 34.148853
0.005000, -1.349939, 41.173013
0.006000, -1.299179, 47.564753
0.007000, -1.242982, 53.319295
0.008000, -1.181987, 58.436242
0.009000, -1.116827, 62.919102
0.010000, -1.048124, 66.774824
0.011000, -0.976491, 70.013370
0.012000, -0.902527, 72.647350
0.013000, -0.826813, 74.691755
0.014000, -0.749913, 76.163764
0.015000, -0.672371, 77.082655
0.016000, -0.594708, 77.469760
0.017000, -0.517420, 77.348460
0.018000, -0.440978, 76.744183
0.019000, -0.365824, 75.684350
0.020000, -0.292368, 74.198274
0.021000, -0.220992, 72.316981
0.022000, -0.152041, 70.072950
0.023000, -0.085828, 67.499800
0.024000, -0.022630, 64.631925
0.025000, 0.037310, 61.504110
0.026000, 0.070796, 58.151158
0.027000, 0.070796, 54.754239
0.028000, 0.070796, 51.529558
0.029000, 0.070796, 48.468380
0.030000, 0.070796, 45.562417
0.031000, 0.070796, 42.803798
0.032000, 0.070796, 40.185051
0.033000, 0.070796, 37.699086
0.034000, 0.070796, 35.339168
0.035000, 0.070796, 33.098908
0.036000, 0.070796, 30.972238
0.037000, 0.070796, 28.953398
0.038000, 0.070796, 27.036921
0.039000, 0.070796, 25.217617
0.040000, 0.070796, 23.490559
0.041000, 0.070796, 21.851069
0.042000, 0.070796, 20.294707
0.043000, 0.070796, 18.817259
0.044000, 0.070796, 17.414724
0.045000, 0.070796, 16.083302
0.046000, 0.070796, 14.819388
0.047000, 0.070796, 13.619560
0.048000, 0.070796, 12.480567
0.049000, 0.070796, 11.399325
0.050000, 0.070796, 10.372907
0.051000, 0.070796, 9.398531
0.052000, 0.070796, 8.473560
0.053000, 0.070796, 7.595489
0.054000, 0.070796, 6.761939
0.055000, 0.070796, 5.970653
0.056000, 0.070796, 5.219487
0.057000, 0.070796, 4.506409
0.058000, 0.070796, 3.829486
0.059000, 0.070796, 3.186886
0.060000, 0.070796, 2.576868
0.061000, 0.070796, 1.997779
0.062000, 0.070796, 1.448053
0.063000, 0.070796, 0.926199
0.064000, 0.070796, 0.430805
0.065000, 0.070522, -0.039470
0.066000, 0.069815, -0.484162
0.067000, 0.068705, -0.901829
0.068000, 0.067219, -1.291282
0.069000, 0.065387, -1.651573
0.070000, 0.063240, -1.981990
0.071000, 0.060808, -2.282049
0.072000, 0.058121, -2.551483
0.073000, 0.055212, -2.790236
0.074000, 0.052109, -2.998448
0.075000, 0.048844, -3.176443
0.076000, 0.045445, -3.324723
0.077000, 0.041941, -3.443949
0.078000, 0.038361, -3.534930
0.079000, 0.034730, -3.598611
0.080000, 0.031076, -3.636061
0.081000, 0.027421, -3.648454
0.082000, 0.023790, -3.637063
0.083000, 0.020203, -3.603242
0.084000, 0.016682, -3.548412
0.085000, 0.013245, -3.474055
0.086000, 0.009910, -3.381693
0.087000, 0.006691, -3.272881
0.088000, 0.003604, -3.149196
0.089000, 0.000660, -3.012222
0.090000, -0.002129, -2.863544
0.091000, -0.004754, -2.704734
0.092000, -0.007208, -2.537344
0.093000, -0.009484, -2.362898
0.094000, -0.011576, -2.182880
0.095000, -0.013483, -1.998731
0.096000, -0.015201, -1.811841
0.097000, -0.016731, -1.623540
0.098000, -0.018072, -1.435099
0.099000, -0.019226, -1.247717
0.100000, -0.020196, -1.062525
0.101000, -0.020985, -0.880579
0.102000, -0.021599, -0.702855
0.103000, -0.022043, -0.530252
0.104000, -0.022323, -0.363588
0.105000, -0.022447, -0.203599
0.106000, -0.022422, -0.050937
0.107000, -0.022255, 0.093824
0.108000, -0.021957, 0.230192
0.109000, -0.021536, 0.357757
0.110000, -0.021000, 0.476185
0.111000, -0.020360, 0.585216
0.112000, -0.019626, 0.684667
0.113000, -0.018807, 0.774424
0.114000, -0.017912, 0.854440
0.115000, -0.016952, 0.924733
0.116000, -0.015937, 0.985381
0.117000, -0.014875, 1.036519
0.118000, -0.013775, 1.078336
0.119000, -0.012648, 1.111069
0.120000, -0.011501, 1.135000
0.121000, -0.010343, 1.150451
0.122000, -0.009181, 1.157780
0.123000, -0.008024, 1.157380
0.124000, -0.006878, 1.149669
0.125000, -0.005751, 1.135089
0.126000, -0.004647, 1.114102
0.127000, -0.003573, 1.087188
0.128000, -0.002535, 1.054835
0.129000, -0.001536, 1.017541
0.130000, -0.000581, 0.975810
0.131000, 0.000327, 0.930144
0.132000, 0.001183, 0.881044
0.133000, 0.001986, 0.829007
