time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404168
0.002000, -1.464103, 17.661865
0.003000, -1.435654, 24.853403
0.004000, -1.401495, 31.057386
0.005000, -1.362499, 36.349889
0.006000, -1.319468, 40.804066
0.007000, -1.273135, 44.489856
0.008000, -1.224169, 47.473772
0.009000, -1.173178, 49.818781
0.010000, -1.120711, 51.584270
0.011000, -1.067264, 52.826074
0.012000, -1.013282, 53.596567
0.013000, -0.959163, 53.944783
0.014000, -0.905261, 53.916566
0.015000, -0.851887, 53.554727
0.016000, -0.799315, 52.899194
0.017000, -0.747784, 51.987164
0.018000, -0.697498, 50.853234
0.019000, -0.648630, 49.529519
0.020000, -0.601326, 48.045758
0.021000, -0.555705, 46.429410
0.022000, -0.511861, 44.705737
0.023000, -0.469867, 42.897890
0.024000, -0.429776, 41.026984
0.025000, -0.391621, 39.112182
0.026000, -0.355421, 37.170775
0.027000, -0.321179, 35.218271
0.028000, -0.288885, 33.268482
0.029000, -0.258519, 31.333620
0.030000, -0.230049, 29.424389
0.031000, -0.203436, 27.550083
0.032000, -0.178633, 25.718685
0.033000, -0.155587, 23.936962
0.034000, -0.134240, 22.210564
0.035000, -0.114529, 20.544113
0.036000, -0.096389, 18.941292
0.037000, -0.079752, 17.404939
0.038000, -0.064549, 15.937122
0.039000, -0.050709, 14.539218
0.040000, -0.038161, 13.211990
0.041000, -0.026833, 11.955653
0.042000, -0.016656, 10.769936
0.043000, -0.007560, 9.654147
0.044000, 0.000524, 8.607226
0.045000, 0.007662, 7.627791
0.046000, 0.013919, 6.714194
0.047000, 0.019359, 5.864556
0.048000, 0.024042, 5.076809
0.049000, 0.028027, 4.348735
0.050000, 0.031369, 3.677992
0.051000, 0.034124, 3.062148
0.052000, 0.036341, 2.498706
0.053000, 0.038069, 1.985127
0.054000, 0.039355, 1.518852
0.055000, 0.040241, 1.097320
0.056000, 0.040770, 0.717986
0.057000, 0.040978, 0.378332
0.058000, 0.040903, 0.075885
0.059000, 0.040577, -0.191778
0.060000, 0.040032, -0.427016
0.061000, 0.039298, -0.632120
0.062000, 0.038400, -0.809304
0.063000, 0.037363, -0.960701
0.064000, 0.036211, -1.088358
0.065000, 0.034964, -1.194235
0.066000, 0.033641, -1.280200
0.067000, 0.032259, -1.348031
0.068000, 0.030834, -1.399413
0.069000, 0.029380, -1.435937
0.070000, 0.027909, -1.459106
0.071000, 0.026433, -1.470328
0.072000, 0.024962, -1.470928
0.073000, 0.023504, -1.462138
0.074000, 0.022067, -1.445110
0.075000, 0.020659, -1.420913
0.076000, 0.019283, -1.390535
0.077000, 0.017946, -1.354889
0.078000, 0.016651, -1.314817
0.079000, 0.015402, -1.271087
0.080000, 0.014201, -1.224404
0.081000, 0.013050, -1.175408
0.082000, 0.011951, -1.124678
0.083000, 0.010904, -1.072738
0.084000, 0.009910, -1.020058
0.085000, 0.008970, -0.967059
0.086000, 0.008082, -0.914114
0.087000, 0.007247, -0.861551
0.088000, 0.006463, -0.809659
0.089000, 0.005730, -0.758688
0.090000, 0.005046, -0.708855
0.091000, 0.004410, -0.660341
0.092000, 0.003820, -0.613301
0.093000, 0.003275, -0.567861
0.094000, 0.002773, -0.524122
0.095000, 0.002312, -0.482163
0.096000, 0.001890, -0.442042
0.097000, 0.001505, -0.403799
0.098000, 0.001156, -0.367457
0.099000, 0.000840, -0.333025
0.100000, 0.000556, -0.300498
0.101000, 0.000301, -0.269861
0.102000, 0.000075, -0.241087
0.103000, -0.000126, -0.214140
0.104000, -0.000303, -0.188980
0.105000, -0.000456, -0.165556
0.106000, -0.000589, -0.143815
0.107000, -0.000703, -0.123698
0.108000, -0.000799, -0.105144
0.109000, -0.000878, -0.088087
0.110000, -0.000943, -0.072462
0.111000, -0.000994, -0.058200
0.112000, -0.001033, -0.045232
0.113000, -0.001061, -0.033490
0.114000, -0.001078, -0.022906
0.115000, -0.001087, -0.013411
0.116000, -0.001087, -0.004939
0.117000, -0.001081, 0.002577
0.118000, -0.001069, 0.009199
0.119000, -0.001051, 0.014991
0.120000, -0.001028, 0.020011
0.121000, -0.001002, 0.024319
0.122000, -0.000972, 0.027971
0.123000, -0.000939, 0.031019
0.124000, -0.000905, 0.033514
0.125000, -0.000868, 0.035506
0.126000, -0.000830, 0.037041
0.127000, -0.000792, 0.038161
0.128000, -0.000752, 0.038909
0.129000, -0.000713, 0.039322
0.130000, -0.000673, 0.039438
0.131000, -0.000634, 0.039290
0.132000, -0.000595, 0.038910
0.133000, -0.000557, 0.038327
