time, theta__error, theta_dot_error
0.000000, -1.500001, -0.000390
0.001000, -1.485894, 9.404140
0.002000, -1.463872, 17.816482
0.003000, -1.434857, 25.281903
0.004000, -1.399726, 31.847692
0.005000, -1.359306, 37.562531
0.006000, -1.314374, 42.475880
0.007000, -1.265656, 46.637417
0.008000, -1.213830, 50.096532
0.009000, -1.159525, 52.901917
0.010000, -1.103324, 55.101234
0.011000, -1.045763, 56.740872
0.012000, -0.987335, 57.865780
0.013000, -0.928489, 58.519368
0.014000, -0.869633, 58.743447
0.015000, -0.811138, 58.578215
0.016000, -0.753334, 58.062257
0.017000, -0.696516, 57.232544
0.018000, -0.640946, 56.124441
0.019000, -0.586850, 54.771698
0.020000, -0.534426, 53.206436
0.021000, -0.483841, 51.459124
0.022000, -0.435233, 49.558547
0.023000, -0.388714, 47.531783
0.024000, -0.344374, 45.404168
0.025000, -0.302277, 43.199289
0.026000, -0.262468, 40.938966
0.027000, -0.224973, 38.643267
0.028000, -0.189799, 36.330523
0.029000, -0.156938, 34.017359
0.030000, -0.126368, 31.718745
0.031000, -0.098056, 29.448048
0.032000, -0.071954, 27.217101
0.033000, -0.048008, 25.036272
0.034000, -0.026155, 22.914545
0.035000, -0.006322, 20.859600
0.036000, 0.011565, 18.877897
0.037000, 0.027588, 16.974757
0.038000, 0.041832, 15.154451
0.039000, 0.054385, 13.420277
0.040000, 0.065337, 11.774639
0.041000, 0.070796, 10.219131
0.042000, 0.070796, 8.779838
0.043000, 0.070796, 7.480096
0.044000, 0.070796, 6.306373
0.045000, 0.070796, 5.246450
0.046000, 0.070796, 4.289295
0.047000, 0.070796, 3.424942
0.048000, 0.070796, 2.644395
0.049000, 0.070796, 1.939527
0.050000, 0.070796, 1.303001
0.051000, 0.070796, 0.728191
0.052000, 0.070746, 0.209113
0.053000, 0.070252, -0.259318
0.054000, 0.069363, -0.679204
0.055000, 0.068124, -1.052746
0.056000, 0.066577, -1.382216
0.057000, 0.064763, -1.669940
0.058000, 0.062721, -1.918275
0.059000, 0.060485, -2.129591
0.060000, 0.058091, -2.306255
0.061000, 0.055568, -2.450618
0.062000, 0.052946, -2.564999
0.063000, 0.050251, -2.651676
0.064000, 0.047507, -2.712872
0.065000, 0.044738, -2.750752
0.066000, 0.041962, -2.767410
0.067000, 0.039198, -2.764866
0.068000, 0.036463, -2.745058
0.069000, 0.033771, -2.709841
0.070000, 0.031134, -2.660981
0.071000, 0.028564, -2.600153
0.072000, 0.026071, -2.528941
0.073000, 0.023662, -2.448836
0.074000, 0.021345, -2.361236
0.075000, 0.019124, -2.267447
0.076000, 0.017005, -2.168682
0.077000, 0.014990, -2.066067
0.078000, 0.013082, -1.960635
0.079000, 0.011283, -1.853338
0.080000, 0.009592, -1.745042
0.081000, 0.008010, -1.636533
0.082000, 0.006535, -1.528520
0.083000, 0.005167, -1.421638
0.084000, 0.003903, -1.316450
0.085000, 0.002741, -1.213453
0.086000, 0.001678, -1.113081
0.087000, 0.000711, -1.015706
0.088000, -0.000164, -0.921645
0.089000, -0.000949, -0.831163
0.090000, -0.001651, -0.744475
0.091000, -0.002271, -0.661749
0.092000, -0.002815, -0.583113
0.093000, -0.003286, -0.508655
0.094000, -0.003689, -0.438430
0.095000, -0.004029, -0.372458
0.096000, -0.004309, -0.310732
0.097000, -0.004533, -0.253217
0.098000, -0.004706, -0.199856
0.099000, -0.004832, -0.150571
0.100000, -0.004915, -0.105267
0.101000, -0.004958, -0.063832
0.102000, -0.004965, -0.026140
0.103000, -0.004940, 0.007943
0.104000, -0.004887, 0.038563
0.105000, -0.004807, 0.065874
0.106000, -0.004705, 0.090033
0.107000, -0.004583, 0.111202
0.108000, -0.004444, 0.129548
0.109000, -0.004291, 0.145236
0.110000, -0.004126, 0.158433
0.111000, -0.003952, 0.169305
0.112000, -0.003769, 0.178015
0.113000, -0.003581, 0.184726
0.114000, -0.003389, 0.189595
0.115000, -0.003195, 0.192774
0.116000, -0.002999, 0.194414
0.117000, -0.002805, 0.194658
0.118000, -0.002612, 0.193645
0.119000, -0.002421, 0.191505
0.120000, -0.002234, 0.188367
0.121000, -0.002052, 0.184349
0.122000, -0.001875, 0.179565
0.123000, -0.001703, 0.174123
0.124000, -0.001538, 0.168122
0.125000, -0.001380, 0.161657
0.126000, -0.001228, 0.154814
0.127000, -0.001084, 0.147676
0.128000, -0.000948, 0.140317
0.129000, -0.000819, 0.132805
0.130000, -0.000697, 0.125204
0.131000, -0.000584, 0.117571
0.132000, -0.000477, 0.109957
0.133000, -0.000379, 0.102408
0.134000, -0.000287, 0.094966
0.135000, -0.000203, 0.087668
0.136000, -0.000126, 0.080545
0.137000, -0.000056, 0.073624
0.138000, 0.000007, 0.066930
0.139000, 0.000065, 0.060482
0.140000, 0.000116, 0.054296
0.141000, 0.000161, 0.048385
0.142000, 0.000201, 0.042760
0.143000, 0.000236, 0.037426
0.144000, 0.000266, 0.032390
0.145000, 0.000291, 0.027652
0.146000, 0.000312, 0.023213
0.147000, 0.000329, 0.019072
0.148000, 0.000342, 0.015224
0.149000, 0.000352, 0.011665
0.150000, 0.000359, 0.008388
0.151000, 0.000363, 0.005386
0.152000, 0.000364, 0.002651
0.153000, 0.000363, 0.000172
0.154000, 0.000360, -0.002059
0.155000, 0.000355, -0.004055
0.156000, 0.000348, -0.005825
0.157000, 0.000340, -0.007381
0.158000, 0.000331, -0.008734
0.159000, 0.000320, -0.009897
0.160000, 0.000309, -0.010881
0.161000, 0.000297, -0.011697
0.162000, 0.000284, -0.012358
0.163000, 0.000271, -0.012874
0.164000, 0.000257, -0.013257
0.165000, 0.000244, -0.013518
0.166000, 0.000230, -0.013667
0.167000, 0.000216, -0.013715
0.168000, 0.000203, -0.013671
0.169000, 0.000189, -0.013546
0.170000, 0.000176, -0.013347
0.171000, 0.000163, -0.013083
0.172000, 0.000150, -0.012763
0.173000, 0.000138, -0.012394
0.174000, 0.000126, -0.011984
0.175000, 0.000115, -0.011539
0.176000, 0.000104, -0.011066
0.177000, 0.000094, -0.010570
0.178000, 0.000084, -0.010057
0.179000, 0.000075, -0.009531
0.180000, 0.000066, -0.008998
0.181000, 0.000058, -0.008462
0.182000, 0.000050, -0.007925
0.183000, 0.000043, -0.007392
0.184000, 0.000036, -0.006866
0.185000, 0.000030, -0.006349
0.186000, 0.000025, -0.005844
0.187000, 0.000020, -0.005352
0.188000, 0.000015, -0.004876
0.189000, 0.000011, -0.004417
0.190000, 0.000007, -0.003976
0.191000, 0.000004, -0.003553
0.192000, 0.000001, -0.003151
0.193000, -0.000002, -0.002769
0.194000, -0.000004, -0.002408
0.195000, -0.000006, -0.002068
0.196000, -0.000008, -0.001749
0.197000, -0.000009, -0.001451
0.198000, -0.000010, -0.001174
0.199000, -0.000011, -0.000917
0.200000, -0.000011, -0.000680
0.201000, -0.000012, -0.000463
0.202000, -0.000012, -0.000264
0.203000, -0.000012, -0.000084
0.204000, -0.000012, 0.000079
0.205000, -0.000011, 0.000224
0.206000, -0.000011, 0.000354
0.207000, -0.000010, 0.000468
0.208000, -0.000010, 0.000568
0.209000, -0.000009, 0.000654
0.210000, -0.000008, 0.000727
0.211000, -0.000007, 0.000788
0.212000, -0.000007, 0.000838
0.213000, -0.000006, 0.000877
0.214000, -0.000005, 0.000907
0.215000, -0.000004, 0.000928
0.216000, -0.000003, 0.000941
0.217000, -0.000002, 0.000947
0.218000, -0.000001, 0.000946
0.219000, -0.000000, 0.000939
0.220000, 0.000001, 0.000926
0.221000, 0.000002, 0.000909
0.222000, 0.000003, 0.000888
0.223000, 0.000004, 0.000863
0.224000, 0.000004, 0.000835
0.225000, 0.000005, 0.000805
0.226000, 0.000006, 0.000772
0.227000, 0.000007, 0.000738
0.228000, 0.000007, 0.000702
0.229000, 0.000008, 0.000665
0.230000, 0.000009, 0.000628
0.231000, 0.000009, 0.000590
0.232000, 0.000010, 0.000552
0.233000, 0.000010, 0.000515
0.234000, 0.000011, 0.000478
0.235000, 0.000011, 0.000441
0.236000, 0.000011, 0.000405
0.237000, 0.000012, 0.000370
0.238000, 0.000012, 0.000336
0.239000, 0.000012, 0.000304
0.240000, 0.000013, 0.000272
0.241000, 0.000013, 0.000242
0.242000, 0.000013, 0.000213
0.243000, 0.000013, 0.000186
0.244000, 0.000013, 0.000160
0.245000, 0.000013, 0.000136
0.246000, 0.000014, 0.000113
0.247000, 0.000014, 0.000091
0.248000, 0.000014, 0.000071
0.249000, 0.000014, 0.000053
0.250000, 0.000014, 0.000036
0.251000, 0.000014, 0.000020
0.252000, 0.000014, 0.000006
0.253000, 0.000014, -0.000007
0.254000, 0.000014, -0.000019
0.255000, 0.000014, -0.000030
0.256000, 0.000014, -0.000039
0.257000, 0.000014, -0.000048
0.258000, 0.000014, -0.000055
0.259000, 0.000014, -0.000061
0.260000, 0.000013, -0.000067
0.261000, 0.000013, -0.000071
0.262000, 0.000013, -0.000075
0.263000, 0.000013, -0.000078
0.264000, 0.000013, -0.000080
0.265000, 0.000013, -0.000082
0.266000, 0.000013, -0.000083
0.267000, 0.000013, -0.000084
0.268000, 0.000013, -0.000084
0.269000, 0.000013, -0.000083
0.270000, 0.000013, -0.000083
0.271000, 0.000013, -0.000082
0.272000, 0.000012, -0.000080
0.273000, 0.000012, -0.000079
0.274000, 0.000012, -0.000077
0.275000, 0.000012, -0.000075
0.276000, 0.000012, -0.000072
0.277000, 0.000012, -0.000070
0.278000, 0.000012, -0.000067
0.279000, 0.000012, -0.000065
0.280000, 0.000012, -0.000062
0.281000, 0.000012, -0.000060
0.282000, 0.000012, -0.000057
0.283000, 0.000012, -0.000054
0.284000, 0.000012, -0.000052
0.285000, 0.000012, -0.000049
0.286000, 0.000012, -0.000046
0.287000, 0.000012, -0.000044
0.288000, 0.000012, -0.000042
0.289000, 0.000011, -0.000039
0.290000, 0.000011, -0.000037
0.291000, 0.000011, -0.000035
0.292000, 0.000011, -0.000033
0.293000, 0.000011, -0.000031
0.294000, 0.000011, -0.000029
0.295000, 0.000011, -0.000027
0.296000, 0.000011, -0.000026
0.297000, 0.000011, -0.000024
0.298000, 0.000011, -0.000023
0.299000, 0.000011, -0.000021
0.300000, 0.000011, -0.000020
0.301000, 0.000011, -0.000019
0.302000, 0.000011, -0.000018
0.303000, 0.000011, -0.000017
0.304000, 0.000011, -0.000016
0.305000, 0.000011, -0.000015
0.306000, 0.000011, -0.000014
0.307000, 0.000011, -0.000014
0.308000, 0.000011, -0.000013
