time,eye_theta_error_l,eye_theta_error_r
0.400000,0.054633,0.046841
0.401000,0.046841,0.046841
0.402000,0.046841,0.046841
0.403000,0.046841,0.046841
0.404000,0.046841,0.046841
0.405000,0.046841,0.046841
0.406000,0.046841,0.046841
0.407000,0.046841,0.046841
0.408000,0.046841,0.046841
0.409000,0.046841,0.046841
0.410000,0.046841,0.046841
0.411000,0.046841,0.039043
0.412000,0.046841,0.039043
0.413000,0.046841,0.039043
0.414000,0.046841,0.039043
0.415000,0.046841,0.039043
0.416000,0.046841,0.039043
0.417000,0.046841,0.039043
0.418000,0.046841,0.039043
0.419000,0.046841,0.039043
0.420000,0.046841,0.039043
0.421000,0.046841,0.039043
0.422000,0.046841,0.039043
0.423000,0.046841,0.039043
0.424000,0.046841,0.039043
0.425000,0.046841,0.039043
0.426000,0.039043,0.046841
0.427000,0.039043,0.046841
0.428000,0.039043,0.046841
0.429000,0.039043,0.046841
0.430000,0.039043,0.046841
0.431000,0.039043,0.031240
0.432000,0.039043,0.031240
0.433000,0.039043,0.031240
0.434000,0.039043,0.031240
0.435000,0.039043,0.031240
0.436000,0.039043,0.031240
0.437000,0.039043,0.031240
0.438000,0.039043,0.031240
0.439000,0.039043,0.031240
0.440000,0.039043,0.031240
0.441000,0.046841,0.039043
0.442000,0.046841,0.039043
0.443000,0.046841,0.039043
0.444000,0.046841,0.039043
0.445000,0.046841,0.039043
0.446000,0.031240,0.039043
0.447000,0.031240,0.039043
0.448000,0.031240,0.039043
0.449000,0.031240,0.039043
0.450000,0.031240,0.039043
0.451000,0.039043,0.023433
0.452000,0.039043,0.023433
0.453000,0.039043,0.023433
0.454000,0.039043,0.023433
0.455000,0.039043,0.023433
0.456000,0.031240,0.039043
0.457000,0.031240,0.039043
0.458000,0.031240,0.039043
0.459000,0.031240,0.039043
0.460000,0.031240,0.039043
0.461000,0.039043,0.031240
0.462000,0.039043,0.031240
0.463000,0.039043,0.031240
0.464000,0.039043,0.031240
0.465000,0.039043,0.031240
0.466000,0.031240,0.031240
0.467000,0.031240,0.031240
0.468000,0.031240,0.031240
0.469000,0.031240,0.031240
0.470000,0.031240,0.031240
0.471000,0.031240,0.015624
0.472000,0.031240,0.015624
0.473000,0.031240,0.015624
0.474000,0.031240,0.015624
0.475000,0.031240,0.015624
0.476000,0.031240,0.031240
0.477000,0.031240,0.031240
0.478000,0.031240,0.031240
0.479000,0.031240,0.031240
0.480000,0.031240,0.031240
0.481000,0.031240,0.023433
0.482000,0.031240,0.023433
0.483000,0.031240,0.023433
0.484000,0.031240,0.023433
0.485000,0.031240,0.023433
0.486000,0.031240,0.023433
0.487000,0.031240,0.023433
0.488000,0.031240,0.023433
0.489000,0.031240,0.023433
0.490000,0.031240,0.023433
0.491000,0.015624,0.023433
0.492000,0.015624,0.023433
0.493000,0.015624,0.023433
0.494000,0.015624,0.023433
0.495000,0.015624,0.023433
0.496000,0.023433,0.023433
0.497000,0.023433,0.023433
0.498000,0.023433,0.023433
0.499000,0.023433,0.023433
0.500000,0.023433,0.023433
0.501000,0.023433,0.023433
0.502000,0.023433,0.023433
0.503000,0.023433,0.023433
0.504000,0.023433,0.023433
0.505000,0.023433,0.023433
0.506000,0.023433,0.015624
0.507000,0.023433,0.015624
0.508000,0.023433,0.015624
0.509000,0.023433,0.015624
0.510000,0.023433,0.015624
0.511000,0.023433,0.015624
0.512000,0.023433,0.015624
0.513000,0.023433,0.015624
0.514000,0.023433,0.015624
0.515000,0.023433,0.015624
0.516000,0.007812,0.015624
0.517000,0.007812,0.015624
0.518000,0.007812,0.015624
0.519000,0.007812,0.015624
0.520000,0.007812,0.015624
0.521000,-0.007812,0.000000
0.522000,-0.007812,0.000000
0.523000,-0.007812,0.000000
0.524000,-0.007812,0.000000
0.525000,-0.007812,0.000000
0.526000,-0.007812,-0.015624
0.527000,-0.007812,-0.015624
0.528000,-0.007812,-0.015624
0.529000,-0.007812,-0.015624
0.530000,-0.007812,-0.015624
0.531000,-0.023433,-0.023433
0.532000,-0.023433,-0.023433
0.533000,-0.023433,-0.023433
0.534000,-0.023433,-0.023433
0.535000,-0.023433,-0.023433
0.536000,-0.023433,-0.023433
0.537000,-0.023433,-0.023433
0.538000,-0.023433,-0.023433
0.539000,-0.023433,-0.023433
0.540000,-0.023433,-0.023433
0.541000,-0.015624,-0.007812
0.542000,-0.015624,-0.007812
0.543000,-0.015624,-0.007812
0.544000,-0.015624,-0.007812
0.545000,-0.015624,-0.007812
0.546000,-0.031240,-0.023433
0.547000,-0.031240,-0.023433
0.548000,-0.031240,-0.023433
0.549000,-0.031240,-0.023433
0.550000,-0.031240,-0.023433
0.551000,-0.015624,-0.023433
0.552000,-0.015624,-0.023433
0.553000,-0.015624,-0.023433
0.554000,-0.015624,-0.023433
0.555000,-0.015624,-0.023433
0.556000,-0.023433,-0.015624
0.557000,-0.023433,-0.015624
0.558000,-0.023433,-0.015624
0.559000,-0.023433,-0.015624
0.560000,-0.023433,-0.015624
0.561000,-0.023433,-0.023433
0.562000,-0.023433,-0.023433
0.563000,-0.023433,-0.023433
0.564000,-0.023433,-0.023433
0.565000,-0.023433,-0.023433
0.566000,-0.023433,-0.031240
0.567000,-0.023433,-0.031240
0.568000,-0.023433,-0.031240
0.569000,-0.023433,-0.031240
0.570000,-0.023433,-0.031240
0.571000,-0.023433,-0.015624
0.572000,-0.023433,-0.015624
0.573000,-0.023433,-0.015624
0.574000,-0.023433,-0.015624
0.575000,-0.023433,-0.015624
0.576000,-0.031240,-0.023433
0.577000,-0.031240,-0.023433
0.578000,-0.031240,-0.023433
0.579000,-0.031240,-0.023433
0.580000,-0.031240,-0.023433
0.581000,-0.031240,-0.023433
0.582000,-0.031240,-0.023433
0.583000,-0.031240,-0.023433
0.584000,-0.031240,-0.023433
0.585000,-0.031240,-0.023433
0.586000,-0.031240,-0.023433
0.587000,-0.031240,-0.023433
0.588000,-0.031240,-0.023433
0.589000,-0.031240,-0.023433
0.590000,-0.031240,-0.023433
0.591000,-0.031240,-0.023433
0.592000,-0.031240,-0.023433
0.593000,-0.031240,-0.023433
0.594000,-0.031240,-0.023433
0.595000,-0.031240,-0.023433
0.596000,-0.031240,-0.031240
0.597000,-0.031240,-0.031240
0.598000,-0.031240,-0.031240
0.599000,-0.031240,-0.031240
0.600000,-0.031240,-0.031240
0.601000,-0.031240,-0.031240
0.602000,-0.031240,-0.031240
0.603000,-0.031240,-0.031240
0.604000,-0.031240,-0.031240
0.605000,-0.031240,-0.031240
0.606000,-0.023433,-0.031240
0.607000,-0.023433,-0.031240
0.608000,-0.023433,-0.031240
0.609000,-0.023433,-0.031240
0.610000,-0.023433,-0.031240
0.611000,-0.039043,-0.031240
0.612000,-0.039043,-0.031240
0.613000,-0.039043,-0.031240
0.614000,-0.039043,-0.031240
0.615000,-0.039043,-0.031240
0.616000,-0.039043,-0.031240
0.617000,-0.039043,-0.031240
0.618000,-0.039043,-0.031240
0.619000,-0.039043,-0.031240
0.620000,-0.039043,-0.031240
0.621000,-0.031240,-0.031240
0.622000,-0.031240,-0.031240
0.623000,-0.031240,-0.031240
0.624000,-0.031240,-0.031240
0.625000,-0.031240,-0.031240
0.626000,-0.031240,-0.031240
0.627000,-0.031240,-0.031240
0.628000,-0.031240,-0.031240
0.629000,-0.031240,-0.031240
0.630000,-0.031240,-0.031240
0.631000,-0.046841,-0.039043
0.632000,-0.046841,-0.039043
0.633000,-0.046841,-0.039043
0.634000,-0.046841,-0.039043
0.635000,-0.046841,-0.039043
0.636000,-0.031240,-0.031240
0.637000,-0.031240,-0.031240
0.638000,-0.031240,-0.031240
0.639000,-0.031240,-0.031240
0.640000,-0.031240,-0.031240
0.641000,-0.039043,-0.031240
0.642000,-0.039043,-0.031240
0.643000,-0.039043,-0.031240
0.644000,-0.039043,-0.031240
0.645000,-0.039043,-0.031240
0.646000,-0.039043,-0.031240
0.647000,-0.039043,-0.031240
0.648000,-0.039043,-0.031240
0.649000,-0.039043,-0.031240
0.650000,-0.039043,-0.031240
0.651000,-0.039043,-0.046841
0.652000,-0.039043,-0.046841
0.653000,-0.039043,-0.046841
0.654000,-0.039043,-0.046841
0.655000,-0.039043,-0.046841
0.656000,-0.046841,-0.039043
0.657000,-0.046841,-0.039043
0.658000,-0.046841,-0.039043
0.659000,-0.046841,-0.039043
0.660000,-0.046841,-0.039043
0.661000,-0.046841,-0.039043
0.662000,-0.046841,-0.039043
0.663000,-0.046841,-0.039043
0.664000,-0.046841,-0.039043
0.665000,-0.046841,-0.039043
0.666000,-0.046841,-0.039043
0.667000,-0.046841,-0.039043
0.668000,-0.046841,-0.039043
0.669000,-0.046841,-0.039043
0.670000,-0.046841,-0.039043
0.671000,-0.046841,-0.039043
0.672000,-0.046841,-0.039043
0.673000,-0.046841,-0.039043
0.674000,-0.046841,-0.039043
0.675000,-0.046841,-0.039043
