time,eye_theta_error_l,eye_theta_error_r
0.412000,-0.077967,-0.070197
0.413000,-0.077967,-0.070197
0.414000,-0.077967,-0.070197
0.415000,-0.077967,-0.070197
0.416000,-0.093477,-0.085727
0.417000,-0.093477,-0.085727
0.418000,-0.093477,-0.085727
0.419000,-0.093477,-0.085727
0.420000,-0.093477,-0.085727
0.421000,-0.093477,-0.093477
0.422000,-0.093477,-0.093477
0.423000,-0.093477,-0.093477
0.424000,-0.093477,-0.093477
0.425000,-0.093477,-0.093477
0.426000,-0.101215,-0.093477
0.427000,-0.101215,-0.093477
0.428000,-0.101215,-0.093477
0.429000,-0.101215,-0.093477
0.430000,-0.101215,-0.093477
0.431000,-0.101215,-0.093477
0.432000,-0.101215,-0.093477
0.433000,-0.101215,-0.093477
0.434000,-0.101215,-0.093477
0.435000,-0.101215,-0.093477
0.436000,-0.108942,-0.101215
0.437000,-0.108942,-0.101215
0.438000,-0.108942,-0.101215
0.439000,-0.108942,-0.101215
0.440000,-0.108942,-0.101215
0.441000,-0.124355,-0.108942
0.442000,-0.124355,-0.108942
0.443000,-0.124355,-0.108942
0.444000,-0.124355,-0.108942
0.445000,-0.124355,-0.108942
0.446000,-0.124355,-0.108942
0.447000,-0.124355,-0.108942
0.448000,-0.124355,-0.108942
0.449000,-0.124355,-0.108942
0.450000,-0.124355,-0.108942
0.451000,-0.132040,-0.124355
0.452000,-0.132040,-0.124355
0.453000,-0.132040,-0.124355
0.454000,-0.132040,-0.124355
0.455000,-0.132040,-0.124355
0.456000,-0.139709,-0.132040
0.457000,-0.139709,-0.132040
0.458000,-0.139709,-0.132040
0.459000,-0.139709,-0.132040
0.460000,-0.139709,-0.132040
0.461000,-0.139709,-0.132040
0.462000,-0.139709,-0.132040
0.463000,-0.139709,-0.132040
0.464000,-0.139709,-0.132040
0.465000,-0.139709,-0.132040
0.466000,-0.154997,-0.139709
0.467000,-0.154997,-0.139709
0.468000,-0.154997,-0.139709
0.469000,-0.154997,-0.139709
0.470000,-0.154997,-0.139709
0.471000,-0.154997,-0.139709
0.472000,-0.154997,-0.139709
0.473000,-0.154997,-0.139709
0.474000,-0.154997,-0.139709
0.475000,-0.154997,-0.139709
0.476000,-0.154997,-0.154997
0.477000,-0.154997,-0.154997
0.478000,-0.154997,-0.154997
0.479000,-0.154997,-0.154997
0.480000,-0.154997,-0.154997
0.481000,-0.154997,-0.154997
0.482000,-0.154997,-0.154997
