time,base_err
0.279000,4.849080
0.280000,4.853493
0.281000,4.857897
0.282000,4.862291
0.283000,4.866675
0.284000,4.871050
0.285000,4.875414
0.286000,4.879768
0.287000,4.884112
0.288000,4.888446
0.289000,4.892771
0.290000,4.897085
0.291000,4.901389
0.292000,4.905683
0.293000,4.909967
0.294000,4.914240
0.295000,4.918504
0.296000,4.922758
0.297000,4.927001
0.298000,4.931234
0.299000,4.935457
0.300000,4.939670
0.301000,4.943873
0.302000,4.948066
0.303000,4.952248
0.304000,4.956420
0.305000,5.647805
0.306000,5.651543
0.307000,5.655188
0.308000,5.658773
0.309000,5.662315
0.310000,5.665821
0.311000,5.669296
0.312000,5.672742
0.313000,5.676161
0.314000,5.679553
0.315000,5.682920
0.316000,5.686262
0.317000,5.689579
0.318000,5.692872
0.319000,5.696141
0.320000,5.699386
0.321000,5.702609
0.322000,5.705808
0.323000,5.708985
0.324000,5.712139
0.325000,5.715272
0.326000,5.718382
0.327000,5.721472
0.328000,5.724539
0.329000,5.727586
0.330000,5.730612
0.331000,5.733618
0.332000,5.736603
0.333000,5.739568
0.334000,5.742513
0.335000,5.745438
0.336000,5.748344
0.337000,5.751230
0.338000,5.754097
0.339000,5.756945
0.340000,5.759774
0.341000,5.762585
0.342000,5.765377
0.343000,5.768150
0.344000,5.770905
0.345000,5.773642
0.346000,5.776361
0.347000,5.779062
0.348000,5.781746
0.349000,5.784412
0.350000,5.787061
0.351000,5.789692
0.352000,5.792306
0.353000,5.794904
0.354000,5.797484
0.355000,5.800048
0.356000,5.802595
0.357000,5.805125
0.358000,5.807640
0.359000,5.810138
0.360000,5.812619
0.361000,5.815085
0.362000,5.817535
0.363000,5.819969
0.364000,5.822388
0.365000,5.824791
0.366000,5.827178
0.367000,5.829550
0.368000,5.831907
0.369000,5.834249
0.370000,5.836576
0.371000,5.838888
0.372000,5.841185
0.373000,-0.439718
0.374000,-4.953490
0.375000,-4.952388
0.376000,-4.951516
0.377000,-4.950785
0.378000,-4.950149
0.379000,-4.949587
0.380000,-4.949088
0.381000,-4.948646
0.382000,-4.948259
0.383000,-4.947924
0.384000,-4.947641
0.385000,-4.947407
0.386000,-4.947221
0.387000,-4.947083
0.388000,-4.946990
0.389000,-4.946941
0.390000,-4.946936
0.391000,-4.946973
0.392000,-4.947050
0.393000,-4.947168
0.394000,-4.947324
0.395000,-4.947519
0.396000,-4.947752
0.397000,-4.948021
0.398000,-4.948328
0.399000,-4.948670
0.400000,-4.949048
0.401000,-4.949461
0.402000,-4.949909
0.403000,-4.950391
0.404000,-4.950908
0.405000,-4.951459
0.406000,-4.952043
0.407000,-4.952660
0.408000,-4.953311
0.409000,-4.953994
0.410000,-4.954710
0.411000,-4.955458
0.412000,-4.956237
0.413000,-4.957048
0.414000,1.325295
0.415000,2.207996
0.416000,2.206668
0.417000,2.205208
0.418000,2.203647
0.419000,2.202003
0.420000,2.200284
0.421000,2.198498
0.422000,2.196649
0.423000,2.194739
0.424000,2.192771
0.425000,2.190747
0.426000,2.188669
0.427000,2.186540
0.428000,2.184360
0.429000,2.182132
0.430000,2.179856
0.431000,2.177535
0.432000,2.175169
0.433000,2.172760
0.434000,2.170309
0.435000,2.167817
0.436000,2.165285
0.437000,2.162714
0.438000,2.160105
0.439000,2.157459
0.440000,2.154777
0.441000,2.152059
0.442000,2.149306
0.443000,2.146519
0.444000,2.143699
0.445000,2.140846
0.446000,2.137960
0.447000,2.135043
0.448000,2.132095
0.449000,2.129117
0.450000,2.126109
0.451000,2.123071
0.452000,2.120005
0.453000,2.116910
0.454000,2.113787
0.455000,2.110637
0.456000,2.107460
0.457000,2.104256
0.458000,2.101026
0.459000,2.097771
0.460000,2.094490
0.461000,2.091185
0.462000,2.087855
0.463000,2.084502
0.464000,2.081124
0.465000,2.077724
0.466000,2.074301
0.467000,2.070855
