time,base_err
0.000000,3.779729
0.001000,3.781387
0.002000,3.783368
0.003000,3.785535
0.004000,3.787821
0.005000,3.790190
0.006000,3.792625
0.007000,3.795117
0.008000,3.797661
0.009000,3.800255
0.010000,3.802897
0.011000,3.805585
0.012000,3.808319
0.013000,3.811091
0.014000,3.813901
0.015000,3.816747
0.016000,3.819630
0.017000,3.822551
0.018000,3.825508
0.019000,3.828501
0.020000,3.831536
0.021000,3.834613
0.022000,3.837732
0.023000,3.840892
0.024000,3.844092
0.025000,3.847331
0.026000,3.850608
0.027000,3.853923
0.028000,3.857274
0.029000,3.860661
0.030000,3.864082
0.031000,3.867537
0.032000,3.871026
0.033000,3.874547
0.034000,3.878100
0.035000,3.881684
0.036000,3.885299
0.037000,3.888944
0.038000,3.892618
0.039000,3.896321
0.040000,3.900052
0.041000,3.903811
0.042000,3.907598
0.043000,3.911411
0.044000,3.915250
0.045000,3.919115
0.046000,3.923006
0.047000,3.926921
0.048000,3.930861
0.049000,3.934824
0.050000,3.938811
0.051000,3.942821
0.052000,3.946854
0.053000,3.950909
0.054000,3.954986
0.055000,3.959084
0.056000,3.963203
0.057000,3.967343
0.058000,3.971502
0.059000,3.975682
0.060000,3.979882
0.061000,3.984100
0.062000,3.988337
0.063000,3.992593
0.064000,3.996866
0.065000,4.001157
0.066000,4.005466
0.067000,4.009791
0.068000,4.014134
0.069000,4.018492
0.070000,4.022867
0.071000,4.027257
0.072000,4.031662
0.073000,4.036083
0.074000,4.040518
0.075000,4.044968
0.076000,4.049432
0.077000,4.053909
0.078000,4.058400
0.079000,4.062905
0.080000,4.067422
0.081000,4.071952
0.082000,4.076494
0.083000,4.081048
0.084000,4.085614
0.085000,4.090192
0.086000,4.094781
0.087000,4.099380
0.088000,4.103991
0.089000,4.108612
0.090000,4.113243
0.091000,4.117884
0.092000,4.122534
0.093000,4.127194
0.094000,4.131863
0.095000,4.136542
0.096000,4.141228
0.097000,4.145923
0.098000,4.150627
0.099000,4.155338
0.100000,4.160057
0.101000,4.164784
0.102000,4.169517
0.103000,4.174258
0.104000,4.179006
0.105000,4.183760
0.106000,4.188520
0.107000,4.193287
0.108000,4.198059
0.109000,4.202838
0.110000,4.207621
0.111000,4.212410
0.112000,4.217205
0.113000,4.222004
0.114000,4.226807
0.115000,4.231615
0.116000,4.236428
0.117000,4.241245
0.118000,4.246065
0.119000,4.250889
0.120000,4.255717
0.121000,4.260548
0.122000,4.265382
0.123000,4.270220
0.124000,4.275060
0.125000,4.279902
0.126000,4.284747
0.127000,4.289595
0.128000,4.294444
0.129000,4.299296
0.130000,4.304149
0.131000,4.309003
0.132000,4.313860
0.133000,4.318717
0.134000,4.323576
0.135000,4.328435
0.136000,4.333295
0.137000,4.338156
0.138000,4.343018
0.139000,4.347879
0.140000,4.352741
0.141000,4.357603
0.142000,4.362465
0.143000,4.367327
0.144000,4.372188
0.145000,4.377048
0.146000,4.381908
0.147000,4.386768
0.148000,4.391626
0.149000,4.396483
0.150000,4.401339
0.151000,4.406193
0.152000,4.411046
0.153000,4.415898
0.154000,4.420747
0.155000,4.425595
0.156000,4.430441
0.157000,4.435285
0.158000,4.440126
0.159000,4.444965
0.160000,4.449802
0.161000,4.454636
0.162000,4.459467
0.163000,4.464296
0.164000,4.469121
0.165000,4.473944
0.166000,4.478764
0.167000,4.483580
0.168000,4.488393
0.169000,4.493202
0.170000,4.498008
0.171000,4.502810
0.172000,4.507608
0.173000,4.512403
0.174000,4.517193
0.175000,4.521979
0.176000,4.526762
0.177000,4.531540
0.178000,4.536313
0.179000,4.541082
0.180000,4.545847
0.181000,4.550607
0.182000,4.555362
0.183000,4.560113
0.184000,4.564858
0.185000,4.569599
0.186000,4.574334
0.187000,4.579064
0.188000,4.583789
0.189000,4.588509
0.190000,4.593224
0.191000,4.597932
0.192000,4.602636
0.193000,4.607333
0.194000,4.612025
0.195000,4.616712
0.196000,4.621392
0.197000,4.626066
0.198000,4.630735
0.199000,4.635397
0.200000,4.640053
0.201000,4.644703
0.202000,4.649347
0.203000,4.653984
0.204000,4.658615
0.205000,4.663240
0.206000,4.667858
0.207000,4.672469
0.208000,4.677074
0.209000,4.681672
0.210000,4.686263
0.211000,4.690847
0.212000,4.695425
0.213000,4.699995
0.214000,4.704559
0.215000,4.709115
0.216000,4.713664
0.217000,4.718206
0.218000,4.722741
0.219000,4.727269
0.220000,4.731789
0.221000,4.736302
0.222000,4.740807
0.223000,4.745305
0.224000,4.749795
0.225000,4.754278
0.226000,4.758753
0.227000,4.763220
0.228000,4.767680
0.229000,4.772132
0.230000,4.776576
0.231000,4.781012
0.232000,4.785440
0.233000,4.789861
0.234000,4.794273
0.235000,4.798678
0.236000,4.803074
0.237000,4.807462
0.238000,4.811842
0.239000,4.816214
0.240000,4.820578
0.241000,4.824933
0.242000,4.829280
0.243000,4.833619
0.244000,4.837950
0.245000,4.842272
0.246000,4.846586
0.247000,4.850891
0.248000,4.855187
0.249000,4.859476
0.250000,4.863755
0.251000,4.868026
0.252000,4.872289
0.253000,4.876543
0.254000,4.880788
0.255000,4.885025
0.256000,4.889252
0.257000,4.893471
0.258000,4.897682
0.259000,4.901883
0.260000,4.906076
0.261000,4.910260
0.262000,4.914435
0.263000,4.918601
0.264000,4.922758
0.265000,4.926906
0.266000,4.931046
0.267000,4.935176
0.268000,4.939297
0.269000,4.943410
0.270000,4.947513
0.271000,4.951607
0.272000,4.955692
0.273000,4.959768
0.274000,4.963835
